,minimum,maximum
CYTDK2,0.0,15.78627808136
XPPT,0.0,15.3601977012964
HXPRT,0.0,34.593979265989795
NDPK5,-29.772733766918314,70.3352187390151
SHK3Dr,0.3192820984062859,1.9770468730792214
NDPK6,0.0,18.87536083682189
NDPK8,-29.773090229159447,67.82311473331315
DHORTS,-2.539100256206302,-0.2771232128083594
OMPDC,0.27712321280835656,2.539100256206629
PYNP2r,-54.9217609902108,24.578553473124387
G5SD,0.1851886268152509,26.171987345412695
CS,0.9007411279669919,12.341948528989871
ICDHyr,0.9007411279669926,11.809348053909767
ALATA_L2,0.0,14.294996751137095
DURIPP,-0.260015780988892,38.75201056679343
ACALD,-235.70250842710246,102.16644348317297
PTRCTA,0.0,10.908606925940337
ACS,0.0,107.03840707686953
CYSDS,0.0,29.149610364165966
MAN6PI,0.0,0.0
PPA,2.613372552337197,118.833817999766
APRAUR,0.0003736360976209627,0.11942125514529549
TRPAS2,-0.28571541006124024,13.961634505206709
PPCK,0.0,61.1851425771472
ME1,0.0,64.6044376271584
DB4PS,0.0007472721952419255,0.23884251029037534
ALAR,0.0349190578947018,42.55654061076811
RBFK,0.00018681804881048135,29.4101982338968
ALATA_L,-62.64370162055073,18.438194328093946
XYLK,0.0,0.0
RBK,0.0,49.8087964294464
GLYK,0.0,103.090147956412
PPM,-108.778321030262,30.27935161270176
ASPTA,-92.8109587873752,-2.4527810767823475
ACP1_FMN,0.0,29.41001141584799
RBFSb,0.0003736360976222334,0.1194212551449971
NDP3,0.0,24.4037537681484
CDPPH,0.0,18.1616762002152
NDP7,0.0,18.1616762002152
FBP,0.0,117.470360783562
EX_pi_e,-6.758884796084811,-0.8080978062373532
GLGC,0.0,65.2755142257587
ALATA_D2,0.0,14.29499675113709
PYK,0.0,125.28741493214062
SHCHD2,0.0001868180488104814,0.0001966505776952344
EX_co2_e,-19.01745125066538,22.75710529732238
A5PISO,0.0325984928937823,0.32087191108710517
PMDPHT,0.00037363609762083475,0.11942125514463574
CPPPGO,0.0,0.06410342888321839
EX_met__L_e,0.0,0.47619047618958577
GTHOr,0.0,47.571874434112
ILETA,-0.7195808838266097,-0.243390407636145
DHORD5,0.0,2.539100256205671
EX_metsox_S__L_e,0.0,0.0
GLYCTO2,0.0,40.690767813568115
VALTA,-19.2801371978824,19.2801371978824
GLYCTO3,0.0,40.69076781357033
IPPMIb,-0.8536224149752683,-0.37743193878311665
GLYCTO4,0.0,3.17429883147456
ORPT,-2.539100256206717,-0.27712321280835384
RBFSa,0.0007472721952421342,0.23884251028864595
ACHBS,0.24339040763614492,0.7195808838228702
PFK_3,0.0,83.5330585114882
DHAD2,0.24339040763614497,0.7195808838259559
ACLS,0.7325001654003289,1.2086906415897667
TRPS2,0.0,13.4854440290161
PSCVT,0.3192820984062857,1.9770468730784705
G3PD5,0.0,40.69039417747968
G1PP,0.0,71.53889581269509
PFL,0.0,45.140483825070916
EX_acgam_e,0.0,0.0
ANS,0.04762017196652104,0.5238106481559869
FRD2,0.0,3.17429883147456
