,minimum,maximum
CYTDK2,0.0,15.78627808136
XPPT,0.0,15.3601977012964
HXPRT,0.0,34.60769979378689
NDPK5,-29.687057982988883,70.3352187390151
SHK3Dr,0.31367545487028897,1.9423296210728496
NDPK6,0.0,18.875360836821898
NDPK8,-29.687408185697922,67.8227095457781
DHORTS,-2.530052939705236,-0.27225688589081
OMPDC,0.2722568858908038,2.5300529397035856
PYNP2r,-54.9217609902108,24.573987555379535
G5SD,0.181936685592562,26.171987345412695
CS,0.8849239730186743,12.221633388957006
ICDHyr,0.8849239730186793,11.689032913880606
ALATA_L2,0.0,14.2949967511371
DURIPP,-0.2554498632458432,38.752010566793224
ACALD,-235.56156258206778,102.12403676562344
PTRCTA,0.0,10.804108940861504
ACS,0.0,107.07176600202072
CYSDS,0.0,29.15325107311937
MAN6PI,0.0,0.0
PPA,2.567481321977349,118.833817999766
APRAUR,0.00036707498936591645,0.11732419924492841
TRPAS2,-0.28069820281688473,13.953272526041632
PPCK,0.0,61.1851425771472
ME1,0.0,64.6044376271584
DB4PS,0.0007341499787318329,0.23464839848859967
ALAR,0.03430587378195096,41.863361183374295
RBFK,0.00018353749468295823,29.4101982338968
ALATA_L,-61.93635072892328,18.45297897644142
XYLK,0.0,0.0
RBK,0.0,49.8087964294464
GLYK,0.0,103.090147956412
PPM,-108.778321030262,30.29308204100466
ASPTA,-92.8109587873752,-2.409709857827074
ACP1_FMN,0.0,29.410014696402122
RBFSb,0.000367074989366453,0.11732419924453019
NDP3,0.0,24.4037537681484
CDPPH,0.0,18.1616762002152
NDP7,0.0,18.1616762002152
FBP,0.0,117.470360783562
EX_pi_e,-6.640197722986149,-0.7939074824934806
GLGC,0.0,65.2755142257587
ALATA_D2,0.0,14.2949967511371
PYK,0.0,125.10188709445569
SHCHD2,0.00018353749468295817,0.00019319736282414157
EX_co2_e,-18.68350183520754,22.35748697248918
A5PISO,0.032026058265037086,0.3152373501919884
PMDPHT,0.00036707498936591634,0.11732419924520682
CPPPGO,0.0,0.06409997566834737
EX_met__L_e,0.0,0.46782849702358625
GTHOr,0.0,47.571874434112
ILETA,-0.7069449310696233,-0.23911643404818453
DHORD5,0.0,2.530052939705914
EX_metsox_S__L_e,0.0,0.0
GLYCTO2,0.0,40.030351648033765
VALTA,-19.2801371978824,19.2801371978824
GLYCTO3,0.0,40.03035164803473
IPPMIb,-0.8386326719876299,-0.3708041749641608
GLYCTO4,0.0,3.17429883147456
ORPT,-2.53005293970357,-0.2722568858908072
RBFSa,0.0007341499787318329,0.23464839849062188
ACHBS,0.2391164340481845,0.7069449310727536
PFK_3,0.0,83.5330585114882
DHAD2,0.23911643404818456,0.7069449310728215
ACLS,0.719637348042385,1.187465845067041
TRPS2,0.0,13.4854440290161
PSCVT,0.31367545487028864,1.9423296210737653
G3PD5,0.0,40.029984573051074
G1PP,0.0,71.53889581269509
PFL,0.0,44.521393158620775
EX_acgam_e,0.0,0.0
ANS,0.04678395430611385,0.5146124513311477
FRD2,0.0,3.17429883147456
FRD3,0.0,3.17429883147456
