,minimum,maximum
rxn02201_c,0.0,1000.0000000000001
rxn00351_c,0.0,1000.0
rxn07431_c,-999.9999999999999,1000.0
rxn00836_c,-1000.0,0.0
rxn01094_c,0.0,0.0
rxn00423_c,0.0,1000.0
rxn10298_c,0.0,0.0
rxn00364_c,-1000.0,1000.0
rxn05561_c,0.0,0.0
rxn03408_c,0.0009334898252179127,0.000982620868624331
rxn02177_c,0.0,0.0
rxn05250_c,0.0,0.0
rxn00646_c,0.0,999.9999999999999
rxn05440_c,0.0,0.0
rxn01673_c,-1000.0,1000.0
rxn02360_c,0.0,0.0
rxn02342_c,0.0,999.9999999999998
rxn05156_c,0.0,2.556392378301448e-07
rxn01452_c,-1000.0,1000.0
rxn00642_c,0.0,0.0
rxn02000_c,0.0,0.0
rxn03239_c,-999.9999999999993,999.9942258649306
rxn05457_c,-1000.0,1000.0
rxn00107_c,0.0,0.0
rxn12008_c,-0.0001470325422770944,6.212478620930743e-21
rxn04070_c,0.0,0.0
rxn00199_c,0.0,1000.0000000000001
rxn01358_c,-1000.0,1000.0
rxn03433_c,0.0,0.0
rxn10231_c,0.0,0.0
rxn12637_c,0.0,0.0
rxn09240_c,0.0,1000.0
rxn00172_c,-1000.0,0.0
rxn01219_c,-0.000577618778640682,-1.0561435753288483e-18
rxn02168_c,-1000.0,1000.0
rxn00800_c,-1000.0,1000.0
rxn08333_c,9.312061011222133e-05,9.80216948530617e-05
rxn08172_c,-999.9999999999982,1000.0
rxn01705_c,-1000.0,1000.0
rxn09177_c,0.0,9.802169501970511e-05
rxn00211_c,0.0,0.0
rxn00179_c,0.0,1000.0
rxn02945_c,0.0,0.0
rxn01210_c,0.0,0.0
rxn00192_c,0.0,1000.0
rxn01218_c,0.0,0.0005776187789957482
rxn02898_c,0.0,9.80216948496539e-05
rxn05654_c,0.0,0.0
rxn12549_c,-6.025700569134716e-14,-5.585498495877053e-21
rxn00545_c,0.0,1000.0
rxn08807_c,0.0,0.0
rxn05614_c,0.0,0.0
rxn02316_c,0.0,1000.0
rxn00501_c,0.0,0.0
rxn10336_c,0.0007217668837988355,0.0007597546145165901
rxn02320_c,-0.002343356439849674,0.0
rxn03384_c,0.0,0.0
rxn02504_c,0.00013968091516832151,0.00014703254227910266
rxn00262_c,-1000.0,1000.0
rxn03173_c,0.0,0.0
rxn03039_c,0.0,0.0
rxn10262_c,0.0,0.0
rxn10126_c,0.0,1000.0
rxn10209_c,0.0,0.0
rxn08084_c,0.0,0.0
rxn10225_c,0.0,0.0
rxn01486_c,0.0,0.00014703254228021898
rxn05444_c,0.0,0.0
rxn05334_c,-500.00084923601156,499.9982308699476
rxn10205_c,0.0,0.0
rxn05040_c,0.00018624121966398922,0.0001960433904385976
rxn01843_c,0.0,0.0
rxn00816_c,-1000.0,999.9999999999997
rxn02988_c,-9.802169501934296e-05,0.0
rxn04792_c,-999.9999999999994,1000.0
rxn00165_c,-1000.0,1000.0
rxn10228_c,0.0,0.0
rxn01117_c,-0.0019652417374446908,-0.0018669796504358258
rxn00001_c,0.0,1000.0
rxn08895_c,0.0,0.0
rxn00671_c,0.0,0.0
rxn11268_c,-499.99038307329545,0.0
rxn00710_c,0.004998489111481066,0.005261567486054973
rxn02305_c,4.656030511636765e-05,4.90108474302704e-05
rxn02885_c,0.0,0.0
rxn08817_c,0.0,0.0
rxn00910_c,-1000.0,999.9994499868842
rxn00953_c,-1000.0,1000.0
rxn01129_c,-1000.0,1000.0
rxn08296_c,0.0,0.0
rxn00717_c,-1000.0,1000.0
rxn05647_c,0.0,0.0
rxn01297_c,-999.9959984258359,1000.0
rxn10254_c,0.0,0.0
rxn01682_c,-999.9986742921712,1000.0000000000001
rxn08796_c,0.0,1000.0
rxn01806_c,0.0,499.99999999999994
rxn08941_c,-1000.0000000000001,1000.0000000000001
rxn03181_c,0.0009334898252179129,0.0009826208686504394
rxn09360_c,0.0,0.0
rxn02331_c,-0.0019652417373008718,-0.0018669796504358254
rxn06493_c,0.0,999.9945837799706
rxn12846_c,0.0,0.0
rxn00337_c,0.0009334898252190757,1000.0000000000001
rxn08308_c,0.0,0.0
rxn01930_c,1.5303346673701452e-20,9.802169476157927e-05
rxn00208_c,0.0,0.0
rxn08823_c,0.0,0.0
rxn05031_c,0.0,0.0
rxn05434_c,0.0,0.0
rxn05346_c,-500.000849236008,499.99823086994604
rxn00867_c,0.0,0.0
rxn03248_c,-499.9877892857546,500.01184037726995
rxn08127_c,-1000.0,1000.0
rxn05386_c,0.0,0.0
rxn05516_c,0.0,1000.0
rxn05733_c,0.0,965.1223164882045
rxn00416_c,-999.9943594883897,1000.0
rxn09206_c,0.0,0.0
rxn01729_c,0.0,0.0
rxn01134_c,0.0,0.0
rxn02376_c,-799.6871199868541,999.9856565318836
rxn08017_c,0.0,1000.0
rxn09209_c,0.0,0.0
rxn12512_c,0.0,9.802169391219476e-05
rxn08669_c,0.0,-1.817779631594461e-13
rxn06672_c,0.0,999.9999999999999
rxn00649_c,0.0,1000.0000000000001
rxn01739_c,0.009334196433799895,866.1352588759283
rxn02400_c,0.0,1000.0
rxn01268_c,0.0,866.1293044803296
rxn00641_c,0.0,0.0
rxn00361_c,0.0,1000.0
rxn02679_c,-1000.0,1000.0
rxn07434_c,0.0,0.0
rxn01974_c,0.0009334898252179126,0.009421337037424355
rxn01640_c,0.0,0.0
rxn00242_c,0.0,0.0
rxn12641_c,0.0,0.0
rxn08971_c,0.0,1000.0
rxn08275_c,0.0,999.9999534396956
rxn01635_c,0.0,0.0
rxn03057_c,0.0,0.0
rxn00060_c,8.741985510860905e-05,9.802169485779152e-05
rxn05350_c,-500.00084923600883,499.99823086994473
rxn09198_c,0.0,0.0
rxn08838_c,0.0,0.0
rxn00148_c,-1000.0,0.0
rxn01102_c,0.0,0.0007597546142892556
rxn05569_c,0.0,0.0
rxn00100_c,9.312060929170113e-05,9.802169530178722e-05
rxn00514_c,0.0,1000.0
rxn00789_c,-0.002343356439974568,0.0
rxn05390_c,0.0,0.0
rxn05560_c,0.0,1000.0
rxn05437_c,0.0,0.0
rxn08976_c,0.0,999.9999534396951
rxn00781_c,-1000.0,1000.0
rxn05319_c,-1000.0000000000017,166.18946575653135
rxn00881_c,0.0,0.0
rxn05298_c,-1000.0,1000.0
rxn06578_c,0.0,0.0
rxn01355_c,0.0,0.0
rxn10337_c,0.0,0.0
rxn00292_c,0.0,0.0
rxn08336_c,0.0,0.005261567486335692
rxn05401_c,0.0,0.0
rxn02264_c,8.741985510859072e-05,9.802169485631076e-05
rxn10338_c,0.0,0.0
rxn09202_c,0.0007217668837988356,0.0007597546143632928
rxn01451_c,-1000.0,1000.0
rxn03903_c,0.0,0.0
rxn00097_c,-1000.0,1000.0
rxn01217_c,0.0,0.0005776187790999414
rxn02212_c,0.00933419643370084,866.1352588759174
rxn00695_c,0.0,1000.0
rxn00250_c,-1000.0,1000.0
rxn05324_c,-499.99823086994934,500.00084923600883
rxn10481_c,4.656030505622856e-05,1000.0
rxn03535_c,0.0,0.0
rxn00692_c,-965.1383246491738,1000.0
rxn01492_c,0.0,999.9999999999999
rxn00802_c,0.006928699406678922,1000.0
rxn08440_c,-1000.0,1000.0
rxn02160_c,0.0,0.0023433564396209542
rxn08802_c,0.0,0.0
rxn02315_c,0.0,1000.0
rxn01825_c,5.412909195737563e-14,866.1258686103794
rxn10230_c,0.0,0.0
rxn02720_c,-500.01184037726705,1000.0
rxn00913_c,-1000.0,1000.0
rxn01997_c,0.0,0.0
rxn08809_c,0.0,0.0
rxn00460_c,0.0,1000.0
rxn00171_c,-1000.0,1000.0
rxn05578_c,0.0,0.0
rxn00178_c,-1000.0,500.0238254671629
rxn03264_c,0.0,0.0
rxn01362_c,-0.0052615674859177375,-0.004998489112086485
rxn05329_c,-500.00084923600747,499.9982308699476
rxn03174_c,-0.00014703254242646598,0.0
rxn03918_c,0.0,0.0
rxn05161_c,0.010543129241571012,0.011098030778074863
rxn00549_c,0.0,1000.0
rxn03951_c,0.0,0.0
rxn01022_c,0.0,0.0
rxn05418_c,0.0,0.0
rxn00506_c,0.0,1000.0
rxn10060_c,-999.9999534396945,1000.0
rxn02933_c,0.0,0.0
rxn00727_c,0.0,0.001493503620528002
rxn10307_c,0.0,0.0
rxn05617_c,0.0,0.0
rxn03852_c,0.0,0.0
rxn01354_c,-1000.0,1000.0
rxn02268_c,0.0,0.0
rxn00305_c,-1000.0,1000.0
rxn01445_c,-1000.0,1000.0
rxn05248_c,0.0,0.0
rxn00612_c,-1000.0,999.9956693986937
rxn08766_c,-1000.0,1000.0
rxn05539_c,0.0,0.0
rxn08841_c,0.0,0.0
rxn05461_c,0.005774135070390685,0.006078036915970741
rxn02159_c,0.0,0.002343356440019188
rxn10222_c,0.0,0.0
rxn00269_c,-1000.0,1000.0
rxn10263_c,0.0,0.0
rxn02791_c,0.0,0.0
rxn05466_c,0.1544675731912784,1000.0
rxn08814_c,0.0,0.0
rxn00917_c,-999.9959984258351,1000.0
rxn08845_c,0.0,0.0
rxn00395_c,0.0,999.9930713005933
rxn01438_c,0.0,9.802169429130492e-05
rxn00300_c,9.312060976193633e-05,9.802169525554797e-05
rxn01925_c,-999.9999999999999,1000.0
rxn02798_c,0.0,0.0
rxn00999_c,0.0,0.0
rxn08799_c,0.0,1000.0
rxn00433_c,0.0,0.0
rxn05957_c,-1000.0,1000.0
rxn05335_c,-999.9942258649318,999.9962660407002
rxn03419_c,0.0,0.00014703254193682374
rxn08551_c,0.0,0.0
rxn10256_c,0.0,0.0
rxn00679_c,0.0,0.0
rxn01516_c,-1000.0,1000.0
rxn00758_c,0.0,0.0
rxn10314_c,0.0,0.0
rxn09111_c,0.0,0.0
rxn06078_c,0.0,965.1223164881593
rxn00471_c,0.0,1000.0
rxn05607_c,0.0,0.0
rxn05595_c,-1000.0,1000.0
rxn05348_c,-500.0008492360085,499.998230869947
rxn05435_c,0.0,0.0
rxn03245_c,-499.98778928575126,500.01184037726745
rxn01504_c,0.0,0.0
rxn00907_c,-999.9851438074638,0.01798145383944072
rxn05458_c,-1000.0,999.9942258649298
rxn08300_c,0.0,0.0
rxn02404_c,0.0018669796504358258,0.001965241737445865
rxn01644_c,0.0,0.009421337037673673
rxn08297_c,0.0,0.0
rxn02911_c,-499.9877892857512,500.0118403772695
rxn05450_c,0.0,0.0
rxn12847_c,0.0,0.0
rxn05410_c,0.0,0.0
rxn05443_c,0.0,0.0
rxn09114_c,0.0,0.0
rxn09188_c,-1000.0,1000.0
rxn08822_c,-0.0030390184580186934,-0.0028870675351966905
rxn05030_c,0.0009334898252015975,0.0009826208686338326
rxn10208_c,0.0,0.0
rxn01620_c,0.0,0.0
rxn05345_c,-999.9904919056288,1000.0
rxn00336_c,-999.9891675599438,1000.0
rxn05422_c,0.0,0.0
rxn03891_c,2.0171616909610163e-20,0.0001470325423430259
rxn01465_c,-0.005261567486224828,-0.004998489112187275
rxn10204_c,-999.9942258649295,1000.0
rxn01833_c,0.0,1000.0000000000001
rxn05145_c,0.019233853435110526,1000.0
rxn01872_c,-999.9856565318827,799.6871199868967
rxn01301_c,-1000.0,1000.0
rxn01643_c,-1000.0,-0.0009334898252179127
rxn00248_c,-1000.0,1000.0
rxn08844_c,0.0,0.0
rxn05385_c,0.0,0.0
rxn00707_c,-1000.0,1000.0
rxn00369_c,-1000.0,1000.0
rxn01637_c,-1000.0000000000009,0.0
rxn00566_c,0.0,1000.0
rxn00708_c,-1000.0,1000.0
rxn07433_c,0.0,0.0
rxn01269_c,0.0,866.1293044803091
rxn00392_c,4.6560305143609905e-05,4.901084680098211e-05
rxn00747_c,-1000.0,600.0026093735311
rxn01334_c,0.0,1000.0
rxn00830_c,0.0010731707404465014,0.001129653410906528
rxn01108_c,-1000.0,1000.0
rxn05219_c,0.0,0.003817614122060251
rxn03406_c,0.0,0.0
rxn00029_c,0.0003496794204344363,0.00039208677945728896
rxn00609_c,0.0,0.0
rxn06673_c,0.0,1000.0
rxn12646_c,0.0,0.0
rxn06777_c,-1000.0,999.9904919056288
rxn05256_c,0.0,571.2046200796138
rxn05448_c,0.0,0.0
rxn05446_c,0.0,0.0
rxn02175_c,9.312060980965643e-05,9.802169454685326e-05
rxn02835_c,0.0,0.00234335644017561
rxn02774_c,4.656030505611064e-05,4.9010847431023405e-05
rxn01675_c,0.0,0.0
rxn08839_c,0.0,0.0
rxn01575_c,-1000.0,1000.0000000000001
rxn01454_c,-1000.0,0.0
rxn05150_c,0.0,1000.0
rxn10335_c,0.0,0.0
rxn05398_c,0.0,0.0
rxn01315_c,0.0,0.0
rxn03240_c,-999.9942258649279,999.9999999999999
rxn09562_c,-1000.0,1000.0
rxn01501_c,-0.011985089893759435,-0.01138583539874369
rxn00555_c,0.003733959300897501,1000.0
rxn03080_c,0.00018624122062017463,0.0001960433897155839
rxn10237_c,0.0,0.0
rxn10011_c,-1000.0,1000.0
rxn12644_c,0.0,0.0
rxn00147_c,0.0,1000.0
rxn00737_c,0.0,965.1228665012665
rxn08843_c,0.0,0.0
rxn01256_c,0.007775687080015647,866.1336442974676
rxn00213_c,0.0,1000.0000000000001
rxn01629_c,-0.0007841735588848184,-0.0006993588408688723
rxn00777_c,-553.5561990042582,-0.011688307932799192
rxn05164_c,0.0,0.0023433564401619186
rxn01740_c,-866.1352588759249,-0.009334196434009304
rxn00190_c,0.0,1000.0
rxn05327_c,-499.9982308699469,500.0008492360084
rxn01444_c,-1000.0,1000.0
rxn05655_c,0.0,0.0
rxn02314_c,-1000.0,1000.0000000000001
rxn08801_c,-999.9942258649297,999.9999999999999
rxn02275_c,0.0,0.0
rxn00251_c,-1000.0,1000.0
rxn00139_c,-1000.0,1000.0
rxn00790_c,-0.007819048698679524,-0.007428096269870122
rxn07976_c,0.0,0.0
rxn00237_c,-1000.0,1000.0
rxn00463_c,-1000.0,999.9957275987173
rxn01489_c,0.0,0.0
rxn10342_c,0.0,0.0
rxn08311_c,0.0028870675351953426,0.0030390184582688353
rxn03175_c,-2.470501142477334e-14,0.0023433564398439165
rxn10264_c,0.0,0.0
rxn03421_c,0.0,0.00014703254227631317
rxn10227_c,0.0,0.0
rxn01146_c,-999.9991706250527,0.0003430759319928221
rxn05336_c,-1000.0000000000002,999.9942258649297
rxn09210_c,0.0007217668837989213,0.0007597546144928418
rxn00285_c,-1000.0,1000.0
rxn00182_c,-1000.0,1000.0
rxn05567_c,0.0,0.0
rxn01642_c,0.0,0.0
rxn00132_c,-1000.0,1000.0
rxn01045_c,-999.9999068793883,1000.0
rxn08893_c,0.0,0.0
rxn06864_c,0.0,0.0
rxn00712_c,-1000.0,1000.0
rxn08615_c,-2.52594836679506e-13,1000.0
rxn08815_c,0.0,0.0
rxn00126_c,0.0,999.9994965471972
rxn01518_c,0.0,1000.0
rxn12844_c,0.0,0.0
rxn08798_c,0.0,1000.0
rxn08119_c,0.0,1.8177796315944613e-13
rxn08306_c,0.0,0.0
rxn08821_c,0.0,0.0
rxn00206_c,0.0,0.0
rxn05381_c,0.0,0.0
rxn01871_c,-999.9999999999999,0.0
rxn05340_c,-499.9982308699443,500.00084923600775
rxn02143_c,0.0,0.0
rxn00405_c,0.0,4.901084742905391e-05
rxn04704_c,0.0,0.0
rxn00299_c,0.0,0.00014703254229864272
rxn08546_c,0.0,1000.0
rxn00756_c,0.0,0.0
rxn05389_c,0.0,0.0
rxn05735_c,0.0,0.0
rxn02484_c,0.0,0.0
rxn01133_c,0.0,0.0
rxn12639_c,0.0,0.0
rxn03159_c,0.000933489825221663,0.000982620868487138
rxn00875_c,-1000.0000000000001,1000.0000000000001
rxn01000_c,0.004339817137396372,0.004568228565477156
rxn00647_c,0.0,0.0
