,minimum,maximum
rxn02201_c,0.0,1000.0000000000002
rxn00351_c,0.0,1000.0
rxn07431_c,-1000.0,1000.0
rxn00836_c,-1000.0,0.0
rxn01094_c,0.0,0.0
rxn00423_c,0.0,1000.0
rxn10298_c,0.0,0.0
rxn00364_c,-1000.0,1000.0
rxn05561_c,0.0,0.0
rxn03408_c,0.0007672214624114807,0.0007672214623930535
rxn02177_c,0.0,0.0
rxn05250_c,0.0,0.0
rxn00646_c,0.0,1000.0
rxn05440_c,0.0,0.0
rxn01673_c,-1000.0,1000.0
rxn02360_c,0.0,0.0
rxn02342_c,0.0,1000.0000000000001
rxn05156_c,0.0,999.9999999999892
rxn01452_c,-1000.0,1000.0
rxn00642_c,0.0,0.0
rxn02000_c,0.0,0.0
rxn03239_c,-1000.0,1000.0
rxn05457_c,-1000.0,1000.0
rxn00107_c,0.0,0.0
rxn12008_c,-0.00011480167551371325,0.0
rxn04070_c,0.0,0.0
rxn00199_c,0.0,1000.0
rxn01358_c,-1000.0,1000.0
rxn03433_c,0.0,0.0
rxn10231_c,0.0,0.0
rxn12637_c,0.0,0.0
rxn09240_c,0.0,1000.0
rxn00172_c,-1000.0,0.0
rxn01219_c,-0.0004509995037805688,0.0
rxn02168_c,-1000.0,1000.0
rxn00800_c,-1000.0,1000.0
rxn08333_c,7.653445033990582e-05,7.653445034563002e-05
rxn08172_c,-999.9999999999998,1000.0
rxn01705_c,-1000.0,1000.0
rxn09177_c,0.0,7.653445044464936e-05
rxn00211_c,0.0,0.0
rxn00179_c,0.0,1000.0
rxn02945_c,0.0,0.0
rxn01210_c,0.0,0.0
rxn00192_c,0.0,1000.0
rxn01218_c,0.0,0.00045099950395054454
rxn02898_c,0.0,7.653445034961689e-05
rxn05654_c,0.0,0.0
rxn12549_c,8.663364458468278e-19,-3.5248291970951945e-14
rxn00545_c,0.0,1000.0
rxn08807_c,0.0,0.0
rxn05614_c,0.0,0.0
rxn02316_c,0.0,1000.0
rxn00501_c,0.0,0.0
rxn10336_c,0.0005932095124722112,0.0005932095125345595
rxn02320_c,-0.0018296714556054522,0.0
rxn03384_c,0.0,0.0
rxn02504_c,0.0001148016755100108,0.00011480167542177993
rxn00262_c,-1000.0,1000.0
rxn03173_c,0.0,0.0
rxn03039_c,0.0,0.0
rxn10262_c,0.0,0.0
rxn10126_c,0.0,1000.0
rxn10209_c,0.0,0.0
rxn08084_c,0.0,0.0
rxn10225_c,0.0,0.0
rxn01486_c,0.0,0.00011480167557820444
rxn05444_c,0.0,0.0
rxn05334_c,-500.0006630757734,499.9985459782099
rxn10205_c,0.0,0.0
rxn05040_c,0.00015306890077630944,0.00015306890008346907
rxn01843_c,0.0,0.0
rxn00816_c,-1000.0,999.9999999999967
rxn02988_c,-7.653444805293003e-05,0.0
rxn04792_c,-999.9999999999973,1000.0
rxn00165_c,-1000.0,1000.0
rxn10228_c,0.0,0.0
rxn01117_c,-0.0015344429248188276,-0.001534442924822961
rxn00001_c,0.0,1000.0
rxn08895_c,0.0,0.0
rxn00671_c,0.0,0.0
rxn11268_c,-499.9920959903604,0.0
rxn00710_c,0.004108184173767641,0.004108184174158161
rxn02305_c,3.826722512211419e-05,3.8267225172995794e-05
rxn02885_c,0.0,0.0
rxn08817_c,0.0,0.0
rxn00910_c,-1000.0,1000.0
rxn00953_c,-1000.0,1000.0
rxn01129_c,-1000.0,1000.0
rxn08296_c,0.0,0.0
rxn00717_c,-1000.0,1000.0
rxn05647_c,0.0,0.0
rxn01297_c,-999.9967111654566,1000.0
rxn10254_c,0.0,0.0
rxn01682_c,-999.9989104203694,1000.0
rxn08796_c,0.0,1000.0
rxn01806_c,0.0,500.0
rxn08941_c,-1000.0000000000002,1000.0
rxn03181_c,0.0007672214624114806,0.0007672214624268659
rxn09360_c,0.0,0.0
rxn02331_c,-0.0015344429248472322,-0.001534442924822961
rxn06493_c,0.0,999.9955484889757
rxn12846_c,0.0,0.0
rxn00337_c,0.0007672214618451917,1000.0
rxn08308_c,0.0,0.0
rxn01930_c,0.0,7.653444966921526e-05
rxn00208_c,0.0,0.0
rxn08823_c,0.0,0.0
rxn05031_c,0.0,0.0
rxn05434_c,0.0,0.0
rxn05346_c,-500.0006630757725,499.9985459781955
rxn00867_c,0.0,0.0
rxn03248_c,-500.0099242746339,967.3983561667219
rxn08127_c,-1000.0,1000.0
rxn05386_c,0.0,0.0
rxn05516_c,0.0,1000.0
rxn05733_c,0.0,999.9993986673214
rxn00416_c,-999.9953641470428,1000.0
rxn09206_c,0.0,0.0
rxn01729_c,0.0,0.0
rxn01134_c,0.0,0.0
rxn02376_c,-1000.0,1000.0
rxn08017_c,0.0,1000.0
rxn09209_c,0.0,0.0
rxn12512_c,0.0,7.65344524285872e-05
rxn08669_c,0.0,0.0
rxn06672_c,-1.1621897337084542e-13,999.9999999999999
rxn00649_c,0.0,1000.0000000000007
rxn01739_c,0.007671637809839992,1000.0000000000003
rxn02400_c,0.0,999.9999999999975
rxn01268_c,0.0,999.995152252811
rxn00641_c,0.0,0.0
rxn00361_c,0.0,1000.0
rxn02679_c,-1000.0,1000.0
rxn07434_c,0.0,0.0
