gene;baseMean;log2FoldChange;lfcSE;stat;pvalue;padj;Gene_name;GeneID;orgdb_symbol;orgdb_old_MXAN;orgdb_Name
WP_002614080.1;31513,7395206249;2,70840060838695;0,319945194971276;8,46520170002898;2,55709773656479e-17;2,93358392580643e-16;MXAN_RS25275;41362483;MXAN_RS25275;MXAN_5201;30S ribosomal protein S21
WP_002614803.1;6328,36570803827;1,57993948629243;0,18287948963595;8,63923827345289;5,65890442367382e-18;7,01386826792171e-17;MXAN_RS16100;41360674;infA;MXAN_3321;translation initiation factor IF-1
WP_002633201.1;287,017197693221;0,548212839812633;0,220749699127732;2,48341375765781;0,0130129840360451;0,0240896418601381;MXAN_RS31645;41363738;MXAN_RS31645;MXAN_6531;HPr family phosphocarrier protein
WP_002633598.1;27718,4874416174;3,86070567821576;0,236903578375407;16,2965274931302;1,04460866708086e-59;2,56548150793081e-57;MXAN_RS16040;41360662;MXAN_RS16040;MXAN_3309;50S ribosomal protein L14
WP_002633601.1;4230,36823451061;2,85598204887951;0,272827321218187;10,468094016858;1,21055816901102e-25;2,91898589771348e-24;MXAN_RS16025;41360659;MXAN_RS16025;MXAN_3306;50S ribosomal protein L16
WP_002633602.1;16237,8057501162;3,30868095592388;0,241612034030004;13,6941894024741;1,09980850137221e-42;9,00349404024583e-41;MXAN_RS16020;41360658;MXAN_RS16020;MXAN_3305;30S ribosomal protein S3
WP_002633603.1;2737,79448699646;2,86262369789936;0,282584594266749;10,1301477715984;4,06035355941391e-24;8,77009917018685e-23;MXAN_RS16015;41360657;MXAN_RS16015;MXAN_3304;50S ribosomal protein L22
WP_002633604.1;1594,37798928037;2,98629322025448;0,297980565874648;10,0217717604803;1,22290739276423e-23;2,51055694161597e-22;MXAN_RS16010;41360656;MXAN_RS16010;MXAN_3303;30S ribosomal protein S19
WP_002633606.1;12236,0565303429;3,3477456843038;0,277306797255801;12,0723534995635;1,47844616662291e-33;6,53571768725103e-32;MXAN_RS16000;41360654;MXAN_RS16000;MXAN_3301;50S ribosomal protein L23
WP_002633607.1;7308,77520943012;3,2979908391152;0,328811959332554;10,0300209451314;1,12492738369603e-23;2,31658182648707e-22;MXAN_RS15995;41360653;MXAN_RS15995;MXAN_3300;50S ribosomal protein L4
WP_002633608.1;7185,64890049918;3,31872192080674;0,237527574153976;13,9719438159015;2,31228424358494e-44;2,28847116704653e-42;MXAN_RS15990;41360652;MXAN_RS15990;MXAN_3299;30S ribosomal protein S10
WP_002634092.1;5101,73232035935;-2,64546189484269;0,255736587893594;-10,344479515553;4,43318620323518e-25;1,03145465661939e-23;MXAN_RS24905;41362409;MXAN_RS24905;MXAN_5125;Crp/Fnr family transcriptional regulator
WP_002634160.1;1983,34879514839;-3,29346485587597;0,388024035078454;-8,4877856991773;2,10611486415563e-17;2,46307718945608e-16;MXAN_RS24650;41362358;MXAN_RS24650;MXAN_5074;septation protein spoVG
WP_002634235.1;8053,21346738822;1,48256759861158;0,192469938553415;7,70285276627822;1,3306164535217e-14;1,17801304449965e-13;MXAN_RS24290;41362286;MXAN_RS24290;MXAN_5002;Fe-S cluster assembly scaffold IscU
WP_002634367.1;1827,66894895351;-0,572534517099539;0,173939969992691;-3,29156384885887;0,00099631997362925;0,00233119186490316;MXAN_RS27095;41362838;MXAN_RS27095;MXAN_5592;helix-turn-helix domain-containing protein
WP_002634498.1;2307,02261982941;0,694175436775357;0,282890669633283;2,45386473041062;0,0141330134293777;0,0260105501110751;MXAN_RS27570;41362933;MXAN_RS27570;MXAN_5688;response regulator
