gene;baseMean;log2FoldChange;lfcSE;stat;pvalue;padj;Gene_name;GeneID;orgdb_symbol;orgdb_old_MXAN;orgdb_Name
WP_002614080.1;13666,643883224;2,19803555175202;0,0890001176341062;24,6969960285726;1,15198925840173e-134;3,6325699020828e-133;MXAN_RS25275;41362483;MXAN_RS25275;MXAN_5201;30S ribosomal protein S21
WP_002614803.1;7217,8511498737;1,2190569047145;0,0902625881332683;13,5056719503171;1,44786654876587e-41;1,11252734235631e-40;MXAN_RS16100;41360674;infA;MXAN_3321;translation initiation factor IF-1
WP_002633201.1;246,971681392044;0,243111960892316;0,129855380223759;1,87217472601752;0,0611824344774808;0,0832494554207122;MXAN_RS31645;41363738;MXAN_RS31645;MXAN_6531;HPr family phosphocarrier protein
WP_002633598.1;14997,0087052791;3,40396116174939;0,0902192164487772;37,7298905459018;0;0;MXAN_RS16040;41360662;MXAN_RS16040;MXAN_3309;50S ribosomal protein L14
WP_002633601.1;7677,93001063834;3,20775349141281;0,0895842870497622;35,8070996270917;8,56345142822238e-281;1,02226201424405e-278;MXAN_RS16025;41360659;MXAN_RS16025;MXAN_3306;50S ribosomal protein L16
WP_002633602.1;14030,3391811562;3,41198549694397;0,089008608249336;38,3332080351838;0;0;MXAN_RS16020;41360658;MXAN_RS16020;MXAN_3305;30S ribosomal protein S3
WP_002633603.1;3774,23762773329;3,74150510743653;0,0991328353066769;37,7423393153422;0;0;MXAN_RS16015;41360657;MXAN_RS16015;MXAN_3304;50S ribosomal protein L22
WP_002633604.1;2020,14836978151;3,40963649691324;0,100532781352867;33,9156686110724;3,91423077065155e-252;3,48888436024075e-250;MXAN_RS16010;41360656;MXAN_RS16010;MXAN_3303;30S ribosomal protein S19
WP_002633606.1;7620,04511022569;4,20932580299299;0,0900227925641297;46,7584450903852;0;0;MXAN_RS16000;41360654;MXAN_RS16000;MXAN_3301;50S ribosomal protein L23
WP_002633607.1;6493,48682285232;3,86267267988419;0,0864028526003788;44,7053837186303;0;0;MXAN_RS15995;41360653;MXAN_RS15995;MXAN_3300;50S ribosomal protein L4
WP_002633608.1;6787,51599572342;3,41408480419717;0,0912972796498248;37,3952522713936;4,66712525319968e-306;6,93327384836441e-304;MXAN_RS15990;41360652;MXAN_RS15990;MXAN_3299;30S ribosomal protein S10
WP_002634092.1;5797,14285811748;-2,58432523282386;0,103290382331555;-25,0199987112872;3,70438464492505e-138;1,20212676462738e-136;MXAN_RS24905;41362409;MXAN_RS24905;MXAN_5125;Crp/Fnr family transcriptional regulator
WP_002634160.1;742,436571201863;-3,53252813863786;0,151500692094864;-23,3169108985055;2,98692089086389e-120;8,0840348807389e-119;MXAN_RS24650;41362358;MXAN_RS24650;MXAN_5074;septation protein spoVG
WP_002634235.1;6500,54486770037;0,200653765614877;0,0748215800941023;2,68176327421202;0,00732352629647017;0,0115630073906243;MXAN_RS24290;41362286;MXAN_RS24290;MXAN_5002;Fe-S cluster assembly scaffold IscU
WP_002634367.1;2088,74814090288;-0,417808936684347;0,0918111842298504;-4,55074117809391;5,34572730038928e-06;1,13628575526557e-05;MXAN_RS27095;41362838;MXAN_RS27095;MXAN_5592;helix-turn-helix domain-containing protein
WP_002634498.1;1223,39670852006;0,0211630404162592;0,0898535094812894;0,235528256363388;0,813798750204936;0,842795452381099;MXAN_RS27570;41362933;MXAN_RS27570;MXAN_5688;response regulator
WP_002634858.1;565,452557388795;-0,100659479470659;0,103175474327501;-0,975614409594514;0,329255581079708;0,383595949724267;MXAN_RS13125;41360087;MXAN_RS13125;MXAN_2709;XRE family transcriptional regulator
WP_002635080.1;5855,33933164511;-0,87480302328046;0,0744434551408153;-11,751241551399;6,95888181938628e-32;4,23295040605981e-31;MXAN_RS14110;41360281;MXAN_RS14110;MXAN_2913;DNA-binding protein
WP_002635502.1;3398,07003630093;-1,16692909603685;0,078296123512801;-14,9040468886824;3,1020755141837e-50;2,88019094615529e-49;MXAN_RS06955;41358880;MXAN_RS06955;MXAN_1434;HU family DNA-binding protein
WP_002635980.1;8952,63236527854;-0,40997010704975;0,088001485256695;-4,65867258778522;3,1825491932128e-06;6,8674439498475e-06;MXAN_RS03255;41358147;MXAN_RS03255;MXAN_0672;cold-shock protein
WP_002636238.1;1685,44563807585;2,43616684012326;0,103431218116531;23,553496560183;1,15594835984386e-122;3,26055476183806e-121;MXAN_RS01960;41357897;MXAN_RS01960;MXAN_0403;ATP synthase F0 subunit C
WP_002636478.1;2510,67285275839;0,324397392869452;0,0880328018614763;3,68496044667425;0,000228738159606344;0,000425108311639814;MXAN_RS19610;41361364;MXAN_RS19610;MXAN_4033;hypothetical protein
WP_002636551.1;4600,41570640352;0,525172768184496;0,0819901104419271;6,40531846284646;1,50055834194856e-10;4,22901876725384e-10;MXAN_RS19910;41361424;MXAN_RS19910;MXAN_4095;hypothetical protein
WP_002636698.1;8217,06690871711;-0,218695797565076;0,0940513725053313;-2,32528023504048;0,0200569804539784;0,029729692757172;MXAN_RS22505;41361936;MXAN_RS22505;MXAN_4636;hypothetical protein
WP_002636699.1;6400,31293949886;-0,556452872009209;0,0714209243583709;-7,79117432332686;6,63892432997114e-15;2,28769119308542e-14;MXAN_RS22510;41361937;MXAN_RS22510;MXAN_4637;polymer-forming cytoskeletal protein
WP_002636736.1;454,220107494057;-0,442591599674876;0,129847699682635;-3,40854401546296;0,000653105480287241;0,00116148181317377;MXAN_RS22690;41361973;MXAN_RS22690;MXAN_4673;MaoC family dehydratase
WP_002637061.1;27,3880226448759;0,615955774237621;0,342641016915371;1,79767086784521;0,0722291806033385;0,0969193240331831;MXAN_RS11845;41359832;fliQ;MXAN_2448;EscS/YscS/HrcS family type III secretion system export apparatus protein
WP_002637270.1;2829,85717790634;0,0339306559009024;0,0848723743891398;0,399784454542657;0,689315281533863;0,731324021116311;MXAN_RS09340;41359340;MXAN_RS09340;MXAN_1926;dynein regulation protein LC7
WP_002637381.1;12727,8899873639;2,46486329863234;0,0878335351138274;28,0628952875233;2,78060834098806e-173;1,3871915492168e-171;MXAN_RS15970;41360648;MXAN_RS15970;MXAN_3295;30S ribosomal protein S12
WP_002637840.1;1584,19533467757;1,59077253146749;0,114234677448012;13,9254783836671;4,4356162096279e-44;3,57685094829463e-43;MXAN_RS36250;41364645;MXAN_RS36250;MXAN_7512;50S ribosomal protein L34
WP_002638649.1;2261,24589109544;-0,943302497711264;0,0883694188271077;-10,6745354923835;1,3392565152451e-26;6,95103245684278e-26;MXAN_RS21170;41361673;MXAN_RS21170;No old locus tag;TIGR04563 family protein
WP_002639025.1;1237,04692189426;-0,860363557981259;0,0913739896365361;-9,41584756672637;4,69280787723269e-21;2,05714233831479e-20;MXAN_RS12210;41359905;MXAN_RS12210;MXAN_2528;TIGR02266 family protein
WP_002639318.1;86,5261959580535;-0,0875390579171642;0,217441301960412;-0,402587075812771;0,68725201894528;0,729714063953176;MXAN_RS07885;41359066;MXAN_RS07885;No old locus tag;hypothetical protein
WP_002639616.1;56223,1779357628;2,34220789203371;0,0879726935273277;26,6242603030692;3,55599950316498e-156;1,47651283718372e-154;MXAN_RS18405;41361125;MXAN_RS18405;MXAN_3793;30S ribosomal protein S1
WP_002639669.1;10400,2904331585;-0,620474793255785;0,0788370237390693;-7,87034776083634;3,53656788283129e-15;1,23071089519662e-14;MXAN_RS17445;41360942;MXAN_RS17445;MXAN_3596;integration host factor subunit alpha
WP_002639727.1;1745,71377401943;-0,548380457483002;0,089597635442113;-6,12047912622983;9,32944044049584e-10;2,50773258322134e-09;MXAN_RS14425;41360341;MXAN_RS14425;MXAN_2978;5-formyltetrahydrofolate cyclo-ligase
WP_002640434.1;847,981594322116;1,11180965158848;0,110614519052272;10,0512090195238;9,07471496880269e-24;4,38961429569073e-23;MXAN_RS23760;41362184;MXAN_RS23760;MXAN_4894;molecular chaperone GroES
WP_002640507.1;560,499624089626;1,91850772604476;0,121593734007431;15,7780147283537;4,40836818811201e-56;4,59033354167115e-55;MXAN_RS15285;41360513;MXAN_RS15285;MXAN_3154;1%2C4-dihydroxy-2-naphthoyl-CoA synthase
WP_002640579.1;279,063007611768;-0,605215671814883;0,140168454278417;-4,3177737453874;1,57610870970617e-05;3,21816943322717e-05;MXAN_RS16985;41360850;MXAN_RS16985;No old locus tag;ribbon-helix-helix domain-containing protein
WP_002640911.1;61,0664150799284;-0,487481927424319;0,240786677794096;-2,0245386160491;0,0429147628837029;0,0601688737159299;MXAN_RS35515;41364500;MXAN_RS35515;MXAN_7339;hypothetical protein
WP_002640925.1;1200,0868428754;0,786341685678775;0,0886617115162335;8,86901089806732;7,37984557769797e-19;3,00086786416733e-18;MXAN_RS11885;41359840;MXAN_RS11885;MXAN_2457;hypothetical protein
