gene;baseMean;log2FoldChange;lfcSE;stat;pvalue;padj;Gene_name;GeneID;orgdb_symbol;orgdb_old_MXAN;orgdb_Name
WP_002614080.1;20340,0977312439;0,890264294909933;0,319693884104088;2,78473983762566;0,00535706865035398;0,0190305321582205;MXAN_RS25275;41362483;MXAN_RS25275;MXAN_5201;30S ribosomal protein S21
WP_002614803.1;20359,9784204458;0,275985897333715;0,293005913464941;0,941912380095145;0,346237501237644;0,487284170613972;MXAN_RS16100;41360674;infA;MXAN_3321;translation initiation factor IF-1
WP_002633201.1;729,688775729926;-0,204335339630788;0,280756669039014;-0,727802264965585;0,466734637849041;0,606377852180121;MXAN_RS31645;41363738;MXAN_RS31645;MXAN_6531;HPr family phosphocarrier protein
WP_002633598.1;23937,646844792;1,88146534698986;0,408210466044786;4,60905710042093;4,044992393968e-06;4,24970097560802e-05;MXAN_RS16040;41360662;MXAN_RS16040;MXAN_3309;50S ribosomal protein L14
WP_002633601.1;8956,39034490597;1,73357843431342;0,467500453660028;3,70818556589916;0,000208749662443911;0,00126432111806454;MXAN_RS16025;41360659;MXAN_RS16025;MXAN_3306;50S ribosomal protein L16
WP_002633602.1;20877,8854821111;1,74528983083217;0,391442288305661;4,45861339710273;8,24915523958434e-06;7,76926569090552e-05;MXAN_RS16020;41360658;MXAN_RS16020;MXAN_3305;30S ribosomal protein S3
WP_002633603.1;5301,61166315009;1,78284222079976;0,433668034189935;4,11107593883419;3,93819638691331e-05;0,000301158756888625;MXAN_RS16015;41360657;MXAN_RS16015;MXAN_3304;50S ribosomal protein L22
WP_002633604.1;4075,56855911865;1,35875059749447;0,360132028018395;3,77292351633071;0,000161345760627537;0,00101675774222257;MXAN_RS16010;41360656;MXAN_RS16010;MXAN_3303;30S ribosomal protein S19
WP_002633606.1;8067,75376540087;2,28816086508587;0,400417427412724;5,71443875425379;1,1006668027226e-08;2,17397417349181e-07;MXAN_RS16000;41360654;MXAN_RS16000;MXAN_3301;50S ribosomal protein L23
WP_002633607.1;9104,45253007528;1,69806135874062;0,342765574721454;4,95400204679404;7,27024408140605e-07;9,64667895100959e-06;MXAN_RS15995;41360653;MXAN_RS15995;MXAN_3300;50S ribosomal protein L4
WP_002633608.1;13282,3913167926;0,899211825236332;0,321563959146141;2,79637005224105;0,00516801891179257;0,0184824183844915;MXAN_RS15990;41360652;MXAN_RS15990;MXAN_3299;30S ribosomal protein S10
