gene;baseMean;log2FoldChange;lfcSE;stat;pvalue;padj;Gene_name;GeneID;orgdb_symbol;orgdb_old_MXAN;orgdb_Name
WP_002614080.1;26516,9508314391;1,25004683958698;0,276413857214528;4,52237399450205;6,11498898638629e-06;2,93781663128807e-05;MXAN_RS25275;41362483;MXAN_RS25275;MXAN_5201;30S ribosomal protein S21
WP_002614803.1;23329,3841852707;0,379468478834535;0,295437931907356;1,28442707537477;0,198992564429929;0,284261918048017;MXAN_RS16100;41360674;infA;MXAN_3321;translation initiation factor IF-1
WP_002633201.1;850,885577769485;-0,0309965144755233;0,213712793671032;-0,145038179245535;0,884680727804077;0,916064542562963;MXAN_RS31645;41363738;MXAN_RS31645;MXAN_6531;HPr family phosphocarrier protein
WP_002633598.1;32569,702717325;2,26030099867539;0,376950174712039;5,99628584972029;2,01881532273575e-09;1,97809732680469e-08;MXAN_RS16040;41360662;MXAN_RS16040;MXAN_3309;50S ribosomal protein L14
WP_002633601.1;11629,389438476;2,03699268435583;0,736023700244938;2,76756398425478;0,00564769580038395;0,0135431628323325;MXAN_RS16025;41360659;MXAN_RS16025;MXAN_3306;50S ribosomal protein L16
WP_002633602.1;31503,4284549315;2,31245228004195;0,383999897690194;6,0220127503982;1,72261320992692e-09;1,71692883348097e-08;MXAN_RS16020;41360658;MXAN_RS16020;MXAN_3305;30S ribosomal protein S3
WP_002633603.1;6578,02611914452;2,00248581006592;0,434292952020065;4,61091021797979;4,00909671871436e-06;2,00801693618663e-05;MXAN_RS16015;41360657;MXAN_RS16015;MXAN_3304;50S ribosomal protein L22
WP_002633604.1;4058,09498792359;1,15357308388092;0,357935563164706;3,2228512687634;0,00126921437668638;0,00360181056978769;MXAN_RS16010;41360656;MXAN_RS16010;MXAN_3303;30S ribosomal protein S19
WP_002633606.1;18057,6420697107;3,45495373118363;0,373158321192433;9,25868065903843;2,06973757070829e-20;7,90025654050025e-19;MXAN_RS16000;41360654;MXAN_RS16000;MXAN_3301;50S ribosomal protein L23
WP_002633607.1;11307,835550596;1,92180743502487;0,339590969101628;5,65918298743022;1,52095317531626e-08;1,25338810307498e-07;MXAN_RS15995;41360653;MXAN_RS15995;MXAN_3300;50S ribosomal protein L4
WP_002633608.1;18255,1540304083;1,36537803156254;0,295258958552368;4,62434074229917;3,75791680956227e-06;1,89450276313709e-05;MXAN_RS15990;41360652;MXAN_RS15990;MXAN_3299;30S ribosomal protein S10
WP_002634092.1;4161,4039874597;-4,85206492859565;0,264000625593929;-18,3789902682232;1,93537664740124e-75;4,48168718983213e-72;MXAN_RS24905;41362409;MXAN_RS24905;MXAN_5125;Crp/Fnr family transcriptional regulator
WP_002634160.1;3719,58589644148;-3,66247981108629;0,432793458117008;-8,46241952690542;2,61886449194253e-17;7,67647747912437e-16;MXAN_RS24650;41362358;MXAN_RS24650;MXAN_5074;septation protein spoVG
WP_002634235.1;11270,5571116704;0,86033502780963;0,264238672513852;3,25590126390197;0,00113033051417545;0,00324479590164333;MXAN_RS24290;41362286;MXAN_RS24290;MXAN_5002;Fe-S cluster assembly scaffold IscU
WP_002634367.1;3143,00683930632;-0,148638607126703;0,223922392234267;-0,663795191019563;0,506821404005395;0,602170051928421;MXAN_RS27095;41362838;MXAN_RS27095;MXAN_5592;helix-turn-helix domain-containing protein
WP_002634498.1;3346,99545840725;-0,347240448455259;0,257323085505103;-1,34943371976772;0,177197696129888;0,257637587905887;MXAN_RS27570;41362933;MXAN_RS27570;MXAN_5688;response regulator
WP_002634858.1;643,465890294109;-0,222956192594577;0,233853830832049;-0,953399787385573;0,340387549112672;0,439939033243858;MXAN_RS13125;41360087;MXAN_RS13125;MXAN_2709;XRE family transcriptional regulator
WP_002635080.1;8748,34081856131;-0,145433830327305;0,266627113280087;-0,545457768859872;0,585438718165525;0,673574490741288;MXAN_RS14110;41360281;MXAN_RS14110;MXAN_2913;DNA-binding protein
WP_002635502.1;3399,55568752255;-1,23974930033267;0,193591366405866;-6,40394932557854;1,51408382924793e-10;1,79800689945049e-09;MXAN_RS06955;41358880;MXAN_RS06955;MXAN_1434;HU family DNA-binding protein
WP_002635980.1;17492,0032832056;-0,0221686296686418;0,221507146594894;-0,100080877793009;0,920280116413728;0,942808725663791;MXAN_RS03255;41358147;MXAN_RS03255;MXAN_0672;cold-shock protein
WP_002636238.1;3259,20062373113;0,934869928446887;0,364275372784049;2,56638246308542;0,010276544680304;0,0227650369560177;MXAN_RS01960;41357897;MXAN_RS01960;MXAN_0403;ATP synthase F0 subunit C
WP_002636478.1;3935,61037745191;0,319647140503208;0,301879839075648;1,05885554160212;0,289665574216555;0,38646182909207;MXAN_RS19610;41361364;MXAN_RS19610;MXAN_4033;hypothetical protein
WP_002636551.1;11391,8288430779;0,221666339595837;0,242499304778333;0,914090618933775;0,3606692314352;0,459806632043276;MXAN_RS19910;41361424;MXAN_RS19910;MXAN_4095;hypothetical protein
WP_002636698.1;13733,0923215691;0,0586795837918499;0,206283476396292;0,28446090213799;0,776057192497877;0,832371362711556;MXAN_RS22505;41361936;MXAN_RS22505;MXAN_4636;hypothetical protein
WP_002636699.1;11836,0795139772;0,22551974573767;0,289547093515251;0,778870694227123;0,436055888616773;0,535208526187407;MXAN_RS22510;41361937;MXAN_RS22510;MXAN_4637;polymer-forming cytoskeletal protein
WP_002636736.1;705,872241244093;-1,13060589076201;0,258194073976069;-4,37889945865604;1,19280142161133e-05;5,38077368567138e-05;MXAN_RS22690;41361973;MXAN_RS22690;MXAN_4673;MaoC family dehydratase
WP_002637061.1;46,3516582335023;-0,78319496030885;0,359157629882921;-2,1806440825555;0,0292097519097767;0,0558086211543505;MXAN_RS11845;41359832;fliQ;MXAN_2448;EscS/YscS/HrcS family type III secretion system export apparatus protein
WP_002637270.1;7134,55097759086;0,234011487248968;0,274665149237246;0,851988276994099;0,394220598640297;0,492917656363236;MXAN_RS09340;41359340;MXAN_RS09340;MXAN_1926;dynein regulation protein LC7
WP_002637381.1;28585,9532973832;1,20089729791904;0,311319270964108;3,85744606878992;0,00011457794944932;0,000418272735062755;MXAN_RS15970;41360648;MXAN_RS15970;MXAN_3295;30S ribosomal protein S12
WP_002637840.1;4370,74497962883;1,06791470799374;0,259016378030041;4,12296209265145;3,74031270526449e-05;0,000152219990412844;MXAN_RS36250;41364645;MXAN_RS36250;MXAN_7512;50S ribosomal protein L34
WP_002638649.1;4877,29022051676;-0,911340307020296;0,278440599241804;-3,27301517631366;0,0010640676410996;0,00307235158051494;MXAN_RS21170;41361673;MXAN_RS21170;No old locus tag;TIGR04563 family protein
WP_002639025.1;2333,69427844086;-0,612564468202071;0,195827777385583;-3,12807751985019;0,00175953767371634;0,00483524850447287;MXAN_RS12210;41359905;MXAN_RS12210;MXAN_2528;TIGR02266 family protein
