gene;baseMean;log2FoldChange;lfcSE;stat;pvalue;padj;Gene_name;GeneID;orgdb_symbol;orgdb_old_MXAN;orgdb_Name
WP_002614080.1;38780,1784313996;1,44345927030647;0,274555217606052;5,25744614468639;1,46069650532448e-07;3,44694766543632e-06;MXAN_RS25275;41362483;MXAN_RS25275;MXAN_5201;30S ribosomal protein S21
WP_002614803.1;33157,2550280035;0,547420692145918;0,305002518705155;1,79480711985565;0,0726844360480606;0,155105208512579;MXAN_RS16100;41360674;infA;MXAN_3321;translation initiation factor IF-1
WP_002633201.1;1054,78534138847;-0,237281426715142;0,224310023410714;-1,05782801458086;0,290133858351247;0,434377126566208;MXAN_RS31645;41363738;MXAN_RS31645;MXAN_6531;HPr family phosphocarrier protein
WP_002633598.1;39117,4505752635;2,08066042705432;0,39701353178783;5,24077962200606;1,5989958699933e-07;3,74798193016885e-06;MXAN_RS16040;41360662;MXAN_RS16040;MXAN_3309;50S ribosomal protein L14
WP_002633601.1;11870,3439607039;1,54262373302605;0,499720171600698;3,08697511266101;0,00202204525093193;0,00942227223332857;MXAN_RS16025;41360659;MXAN_RS16025;MXAN_3306;50S ribosomal protein L16
WP_002633602.1;28523,4525353795;1,61478691299932;0,394871212040483;4,08940146498643;4,32487741442251e-05;0,000421328713246042;MXAN_RS16020;41360658;MXAN_RS16020;MXAN_3305;30S ribosomal protein S3
WP_002633603.1;6304,21138287127;1,3816397266946;0,468658355359615;2,94807445742523;0,00319760038613958;0,0135776527034559;MXAN_RS16015;41360657;MXAN_RS16015;MXAN_3304;50S ribosomal protein L22
WP_002633604.1;4873,94500473664;0,936194168274598;0,367920091851428;2,54455842181255;0,0109416006859865;0,0357804685354007;MXAN_RS16010;41360656;MXAN_RS16010;MXAN_3303;30S ribosomal protein S19
WP_002633606.1;12703,0369249755;2,41407248910017;0,489467401665686;4,93203935723798;8,13755148112387e-07;1,49581044988553e-05;MXAN_RS16000;41360654;MXAN_RS16000;MXAN_3301;50S ribosomal protein L23
WP_002633607.1;10875,1613487739;1,30203117763239;0,370323205241183;3,51593191894202;0,000438213338214624;0,00272081792660369;MXAN_RS15995;41360653;MXAN_RS15995;MXAN_3300;50S ribosomal protein L4
WP_002633608.1;19740,8054318215;0,935524987638374;0,31154737744585;3,00283377542145;0,00267478483554191;0,0117852342163137;MXAN_RS15990;41360652;MXAN_RS15990;MXAN_3299;30S ribosomal protein S10
WP_002634092.1;11612,8202102277;0,233509120980581;0,251402040948895;0,928827467347603;0,352978507263116;0,499302323457445;MXAN_RS24905;41362409;MXAN_RS24905;MXAN_5125;Crp/Fnr family transcriptional regulator
WP_002634160.1;7466,89806077217;-0,651156121689298;0,456605944942126;-1,42607893940547;0,153845557228019;0,271438701546443;MXAN_RS24650;41362358;MXAN_RS24650;MXAN_5074;septation protein spoVG
WP_002634235.1;14198,8804650547;0,741693186944845;0,202216059994608;3,6678253298211;0,000244622197150577;0,00171211026763205;MXAN_RS24290;41362286;MXAN_RS24290;MXAN_5002;Fe-S cluster assembly scaffold IscU
WP_002634367.1;4435,07126167345;0,0311634224404014;0,210425142404928;0,14809742830271;0,882265878983626;0,927037834001318;MXAN_RS27095;41362838;MXAN_RS27095;MXAN_5592;helix-turn-helix domain-containing protein
WP_002634498.1;4213,40264864073;-0,523879932174897;0,270173294500864;-1,93905150078859;0,0524950674131614;0,12049886489679;MXAN_RS27570;41362933;MXAN_RS27570;MXAN_5688;response regulator
WP_002634858.1;1006,34518968852;0,242710399605817;0,285481285249599;0,850179721566032;0,395225174119434;0,539881908454685;MXAN_RS13125;41360087;MXAN_RS13125;MXAN_2709;XRE family transcriptional regulator
WP_002635080.1;11385,1926161527;-0,202666844400886;0,264324565210284;-0,766734806655802;0,443239204567646;0,586257497425678;MXAN_RS14110;41360281;MXAN_RS14110;MXAN_2913;DNA-binding protein
WP_002635502.1;5025,74370086238;-0,76956174570633;0,249219365085879;-3,0878890388038;0,00201583724154603;0,00939961490801001;MXAN_RS06955;41358880;MXAN_RS06955;MXAN_1434;HU family DNA-binding protein
WP_002635980.1;21878,216314657;-0,199540577539332;0,277324977712908;-0,719518952764149;0,471821228840714;0,612123195292048;MXAN_RS03255;41358147;MXAN_RS03255;MXAN_0672;cold-shock protein
WP_002636238.1;5318,002661567;1,36329696027184;0,395731938565201;3,44500109143258;0,000571057085846569;0,00339764373478559;MXAN_RS01960;41357897;MXAN_RS01960;MXAN_0403;ATP synthase F0 subunit C
WP_002636478.1;5304,41190974468;0,356826590607034;0,417631451515542;0,854405455604809;0,392880374148033;0,537718370780462;MXAN_RS19610;41361364;MXAN_RS19610;MXAN_4033;hypothetical protein
WP_002636551.1;16045,2900243757;0,378477862300221;0,321219598159071;1,17825271082244;0,238695874218418;0,376959231611044;MXAN_RS19910;41361424;MXAN_RS19910;MXAN_4095;hypothetical protein
WP_002636698.1;17544,7814248289;-0,0493873483466841;0,205030177991969;-0,24087843472788;0,809649336680094;0,877557201150037;MXAN_RS22505;41361936;MXAN_RS22505;MXAN_4636;hypothetical protein
WP_002636699.1;16074,3031972738;0,288958276609011;0,273482286631625;1,05658863748727;0,290699368431669;0,434804087472207;MXAN_RS22510;41361937;MXAN_RS22510;MXAN_4637;polymer-forming cytoskeletal protein
WP_002636736.1;1042,57094129984;-0,680260852646851;0,24305512549385;-2,79879246020699;0,0051294094556004;0,0197731374433603;MXAN_RS22690;41361973;MXAN_RS22690;MXAN_4673;MaoC family dehydratase
WP_002637061.1;57,5448023378735;-1,07421322895261;0,294588652201522;-3,64648543290717;0,000265851541462469;0,00182056626013761;MXAN_RS11845;41359832;fliQ;MXAN_2448;EscS/YscS/HrcS family type III secretion system export apparatus protein
WP_002637270.1;9080,81989802582;0,122088501465576;0,262366317375718;0,465336033553199;0,641690834165934;0,754835041537395;MXAN_RS09340;41359340;MXAN_RS09340;MXAN_1926;dynein regulation protein LC7
WP_002637381.1;35692,9680150005;1,06977956734711;0,323675550175576;3,30509847520708;0,000949430349479423;0,00511710724622976;MXAN_RS15970;41360648;MXAN_RS15970;MXAN_3295;30S ribosomal protein S12
WP_002637840.1;5164,33156379303;0,811865092555573;0,316688876935051;2,56360469749646;0,0103591452474042;0,0342445004983996;MXAN_RS36250;41364645;MXAN_RS36250;MXAN_7512;50S ribosomal protein L34
WP_002638649.1;7869,38539585375;-0,213645057424784;0,389256187299028;-0,548854621701006;0,583105221803246;0,707239099547781;MXAN_RS21170;41361673;MXAN_RS21170;No old locus tag;TIGR04563 family protein
WP_002639025.1;3465,23156253709;-0,232885601388799;0,232165459133831;-1,00310184924861;0,315811722552877;0,46110888002338;MXAN_RS12210;41359905;MXAN_RS12210;MXAN_2528;TIGR02266 family protein
WP_002639318.1;276,152005956336;-1,07569898247893;0,276555422644538;-3,88963258139234;0,000100396108022305;0,00083315762746352;MXAN_RS07885;41359066;MXAN_RS07885;No old locus tag;hypothetical protein
WP_002639616.1;149324,863891505;0,769024175189786;0,280496557337226;2,74165281203515;0,00611309183357025;0,0227248251503396;MXAN_RS18405;41361125;MXAN_RS18405;MXAN_3793;30S ribosomal protein S1
WP_002639669.1;31899,6259001765;0,0146104180094106;0,309477523718898;0,0472099486703966;0,962345898472243;0,977316967262085;MXAN_RS17445;41360942;MXAN_RS17445;MXAN_3596;integration host factor subunit alpha
