GeneNames,Ec1,Ec2,Ec3,B1,B2,B3,C1,C2,C3,Y1,Y2,Y3,W1,W2,W3,K1,K2,K3,WC1,WC2,WC3,KC1,KC2,KC3
MXAN_5201,13032,13136,12917,18050,22828,16816,42888,32404,20170,81172,50756,56338,47147,66692,60053,35638,38908,37314,15344,15530,27018,17185,13886,9121
MXAN_3321,6817,5982,6246,15018,16718,18070,29227,34305,9713,42334,45648,38987,47654,76407,69546,28536,31303,34021,19022,19870,35902,12388,22264,17843
MXAN_6531,275,195,239,521,550,406,1140,727,386,1206,1130,818,1120,2378,2409,838,832,531,1110,995,1063,1841,1027,766
MXAN_3309,15516,14792,13306,28206,30917,22916,64389,58243,23106,85078,62774,60544,37185,58290,62136,27039,28864,34478,7962,9148,24438,4169,7524,7193
MXAN_3306,4095,2680,1969,8170,8806,14771,20987,18394,9361,24933,12943,21012,18641,18434,17038,13309,11109,20035,3338,2187,11373,3164,2406,4588
MXAN_3305,13003,16593,14074,25189,23061,22819,61541,64019,19746,56600,41905,42968,34164,47544,52750,23439,25286,37701,7577,8497,22931,2279,7607,10545
MXAN_3304,2279,2019,1644,5122,6142,7229,13723,9646,4806,12488,6349,11483,10153,9796,10207,7117,8017,11718,2114,1417,6207,212,1525,2648
MXAN_3303,1972,1179,992,4526,4044,4477,7760,5042,2407,8285,5362,7473,6427,10658,11828,5046,5227,7018,1833,2334,5118,646,1901,2470
MXAN_3301,8425,9173,6055,10853,10093,8327,37470,31794,16764,43396,9059,22036,17050,22480,17966,11529,11656,16525,2314,2317,6524,1738,2514,2875
MXAN_3300,5541,5210,4353,11017,9218,10794,23620,15155,8587,23649,10422,17931,17425,20462,19127,11215,13880,19179,3562,4642,9206,641,3664,3684
MXAN_3299,6860,5030,4730,12877,13173,12070,33349,27541,10883,30685,28630,24975,26700,43998,39932,18345,23382,24932,7723,12545,17261,2140,8715,5442
MXAN_5125,2048,850,931,3625,1532,2966,369,294,106,15166,11577,14347,18964,14409,13005,10862,9185,7898,13274,7582,8873,8178,19867,18892
MXAN_5074,973,1177,2034,1338,1115,1341,463,734,246,6388,7594,4696,11553,22802,21077,6959,8720,5057,8927,13191,3053,16603,17953,16224
MXAN_5002,4996,4531,5621,13419,10477,8313,17520,19592,4476,22838,19235,16090,14776,22045,25090,7971,8605,7330,9979,8664,10872,5280,11700,8494
MXAN_5592,1032,1108,1282,2167,1760,2440,3235,3758,1176,6400,3893,4598,7583,6898,6896,3623,4095,4088,4656,3265,4281,856,3427,4067
MXAN_5688,1351,1213,1341,1887,1732,1421,3343,3373,1252,5061,3238,3184,4671,10747,12777,2324,2784,2660,3308,5834,4588,17827,4792,3962
MXAN_2709,292,212,300,622,551,1091,774,698,202,942,1402,1116,1449,1606,1824,731,853,802,814,815,928,1416,805,700
MXAN_2913,2256,2073,2556,4592,3528,6047,8291,10789,3435,12313,11760,10298,16602,17673,16338,8021,7472,6937,14704,10915,8236,15188,12332,15029
MXAN_1434,696,501,749,1588,1409,2645,2207,2318,894,3865,4556,3514,8321,10236,10298,4153,3654,3410,6548,5951,5080,8956,6922,7994
MXAN_0672,4182,6826,6465,6815,9076,6619,15909,23006,7548,25328,26285,14468,31726,50810,52525,16975,20780,14508,21494,20630,22779,11878,26017,24944
MXAN_0403,1433,1331,930,1637,1910,2664,4307,4749,2108,12571,6321,6899,7735,8243,6587,4127,4676,5465,2196,1444,4649,393,1383,1285
MXAN_4033,3005,1639,1977,3662,2469,3537,4970,3931,2321,10894,2647,6959,12499,12571,8580,7599,6989,9176,4542,2508,5911,2500,3406,3826
MXAN_4095,2868,3040,3324,4982,6686,4148,13911,15440,4607,19122,25441,13418,16732,31318,32888,10394,12571,8424,10327,14928,13347,6847,12526,7822
MXAN_4636,5599,5302,5531,9312,8632,7380,16390,16890,5388,23977,17815,15085,24283,36851,38443,12011,12235,10781,15675,17961,15806,13429,16823,15828
MXAN_4637,4483,5182,5790,8827,7178,7460,11936,18999,4540,20196,22020,14873,18902,25189,27940,8740,9326,8092,11527,16282,12212,20713,12953,12693
MXAN_4673,192,147,154,382,355,772,542,323,254,1200,560,925,2334,2112,2098,1126,1010,1089,1320,1052,1196,1539,985,1204
MXAN_2448,23,12,16,38,24,39,53,24,15,42,34,45,97,112,114,59,62,63,68,79,69,61,43,59
MXAN_1926,2373,3299,3729,4201,3751,3606,7581,11288,2680,10586,11867,8060,10825,14116,16324,5324,6597,6319,7188,9267,7618,4251,7522,6271
MXAN_3295,11158,10885,10871,22291,22473,21989,50313,41217,16786,58362,46650,53073,47758,67270,63129,26341,32601,40517,15833,15005,33164,2011,14629,13159
MXAN_7512,1551,1328,1424,2947,2832,2635,6139,7321,2512,7235,8680,5232,6199,8882,8911,3576,4538,5257,2526,3373,4487,1517,2686,1855
MXAN_2528,796,502,808,1635,1293,1491,2217,1989,788,3377,3662,3230,4289,5517,5596,2338,2339,2096,4088,3174,3141,2016,3384,3767
MXAN_3793,69411,52464,51539,113845,93506,97652,205763,192772,77426,247372,162582,211177,171402,287087,263020,119048,124984,148292,77696,84282,144546,47781,76425,73455
MXAN_3596,5118,4616,6065,10128,10828,8102,22261,29223,8822,34161,44417,24035,36155,55759,63340,15992,19546,14361,28029,34390,25443,28498,32954,28224
MXAN_2978,1256,1314,1555,2984,2841,4758,5420,6289,1946,6194,6652,5520,7929,8179,9599,2917,3297,3513,4038,4329,5300,6779,6252,8682
MXAN_4894,1606,1578,1294,1538,1877,1871,4794,3867,1616,16792,11851,7350,8401,8837,7293,4973,4818,3979,3469,3812,3442,1699,2221,1417
MXAN_3154,651,455,534,1063,1141,1349,2403,2042,850,2803,2060,2480,2177,2634,2696,1299,1262,1339,807,681,1366,674,781,583
