"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Gene_name","GeneID","orgdb_symbol","orgdb_old_MXAN","orgdb_Name","iMat"
"1","WP_002614080.1",17681.5595400946,1.13148580809734,0.333820387052008,3.38950481152327,0.000700189800953942,0.00401749202195971,"MXAN_RS25275",41362483,"MXAN_RS25275","MXAN_5201","30S ribosomal protein S21",0
"2","WP_002614803.1",13055.8658450867,-0.279785484378841,0.341134653438939,-0.820161427630867,0.41212408777437,0.55634844891773,"MXAN_RS16100",41360674,"infA","MXAN_3321","translation initiation factor IF-1",0
"3","WP_002633201.1",520.781350902195,-0.488659406109829,0.310280848578043,-1.57489386905206,0.115280944069584,0.223684953832229,"MXAN_RS31645",41363738,"MXAN_RS31645","MXAN_6531","HPr family phosphocarrier protein",0
"4","WP_002633598.1",17667.1430239249,1.78674248251241,0.432318538781286,4.1329305181991,3.58167027156953e-05,0.000318057858780743,"MXAN_RS16040",41360662,"MXAN_RS16040","MXAN_3309","50S ribosomal protein L14",1
"5","WP_002633601.1",4426.40026145906,0.8104626466811,0.545743984534573,1.48506015576569,0.13752788957159,0.253668278115051,"MXAN_RS16025",41360659,"MXAN_RS16025","MXAN_3306","50S ribosomal protein L16",0
"6","WP_002633602.1",17449.3792662468,1.88076078129181,0.434381176998114,4.32974742204351,1.49280461957957e-05,0.000150393518033959,"MXAN_RS16020",41360658,"MXAN_RS16020","MXAN_3305","30S ribosomal protein S3",1
"7","WP_002633603.1",2814.87453548363,1.02619697482028,0.492625487320569,2.08311790849851,0.0372404773806576,0.0968027648548137,"MXAN_RS16015",41360657,"MXAN_RS16015","MXAN_3304","50S ribosomal protein L22",0
"8","WP_002633604.1",2211.27767791269,0.573721375511949,0.458411763915568,1.25154156300758,0.210736959624167,0.345923865833763,"MXAN_RS16010",41360656,"MXAN_RS16010","MXAN_3303","30S ribosomal protein S19",0
"9","WP_002633606.1",8710.24782304086,2.84355571002506,0.458540782710675,6.20131472977236,5.59934098018742e-10,1.46155525357847e-08,"MXAN_RS16000",41360654,"MXAN_RS16000","MXAN_3301","50S ribosomal protein L23",1
"10","WP_002633607.1",6448.52621827842,1.51995260001248,0.40526480539147,3.75051714284508,0.000176470239134556,0.00126146931314961,"MXAN_RS15995",41360653,"MXAN_RS15995","MXAN_3300","50S ribosomal protein L4",1
"11","WP_002633608.1",8833.21609433849,0.535881299066593,0.382378369382405,1.40144250296406,0.161081789874866,0.284088339006963,"MXAN_RS15990",41360652,"MXAN_RS15990","MXAN_3299","30S ribosomal protein S10",0
"12","WP_002634092.1",4046.18842339679,-1.23515290217872,0.419532537353856,-2.94411706412399,0.00323877469015887,0.0142700744180849,"MXAN_RS24905",41362409,"MXAN_RS24905","MXAN_5125","Crp/Fnr family transcriptional regulator",-1
"13","WP_002634160.1",3640.19806843569,-1.01952087491638,0.440471370370013,-2.31461326092532,0.0206341064936207,0.0613415133078259,"MXAN_RS24650",41362358,"MXAN_RS24650","MXAN_5074","septation protein spoVG",-1
"14","WP_002634235.1",7420.21093610499,0.700065577365585,0.255388854319687,2.74117513558077,0.00612198663548015,0.0239288768605183,"MXAN_RS24290",41362286,"MXAN_RS24290","MXAN_5002","Fe-S cluster assembly scaffold IscU",0
"15","WP_002634367.1",2207.82630588281,-0.16565406345308,0.278148989258817,-0.595558746751149,0.55147004261522,0.680913826135366,"MXAN_RS27095",41362838,"MXAN_RS27095","MXAN_5592","helix-turn-helix domain-containing protein",0
"16","WP_002634498.1",2525.14460174108,-0.142433372288757,0.32560110068527,-0.43744745330709,0.661786876268352,0.771375738221451,"MXAN_RS27570",41362933,"MXAN_RS27570","MXAN_5688","response regulator",0
"17","WP_002634858.1",487.155670493741,-0.02292925672287,0.288456747600981,-0.0794894101579062,0.93664335443024,0.961049636000414,"MXAN_RS13125",41360087,"MXAN_RS13125","MXAN_2709","XRE family transcriptional regulator",0
"18","WP_002635080.1",5333.01458725292,-0.636099016692788,0.299559398378247,-2.12344870545374,0.033716269507877,0.089671483280116,"MXAN_RS14110",41360281,"MXAN_RS14110","MXAN_2913","DNA-binding protein",0
"19","WP_002635502.1",2268.78552235314,-1.5369853743803,0.261478153988158,-5.87806419365307,4.15091958191761e-09,9.22709252870782e-08,"MXAN_RS06955",41358880,"MXAN_RS06955","MXAN_1434","HU family DNA-binding protein",-1
"20","WP_002635980.1",11618.640047745,-0.206538066354009,0.312310940711321,-0.661321905289636,0.508405896417264,0.645792632665689,"MXAN_RS03255",41358147,"MXAN_RS03255","MXAN_0672","cold-shock protein",0
"21","WP_002636238.1",1979.75750141094,0.590879870047438,0.456420369636467,1.29459574847211,0.195459719796167,0.327397406202087,"MXAN_RS01960",41357897,"MXAN_RS01960","MXAN_0403","ATP synthase F0 subunit C",0
"22","WP_002636478.1",3284.46891531429,0.730101415078122,0.388044499279293,1.88148889221243,0.05990544487667,0.137648689778304,"MXAN_RS19610",41361364,"MXAN_RS19610","MXAN_4033","hypothetical protein",0
"23","WP_002636551.1",6545.01001860567,-0.394003954658122,0.293318841023742,-1.34326166462055,0.179187260594187,0.307311949416263,"MXAN_RS19910",41361424,"MXAN_RS19910","MXAN_4095","hypothetical protein",0
"24","WP_002636698.1",9830.5811174997,0.0953975573118205,0.285633107155872,0.333986344446274,0.73838986315331,0.824541329928612,"MXAN_RS22505",41361936,"MXAN_RS22505","MXAN_4636","hypothetical protein",0
"25","WP_002636699.1",8568.0957759975,0.289093578869049,0.292031424819934,0.989939966383084,0.322203463167054,0.468913213238473,"MXAN_RS22510",41361937,"MXAN_RS22510","MXAN_4637","polymer-forming cytoskeletal protein",0
"26","WP_002636736.1",494.85132691124,-1.16395881490891,0.332694515106442,-3.49858131726795,0.000467740434614428,0.00290640156440759,"MXAN_RS22690",41361973,"MXAN_RS22690","MXAN_4673","MaoC family dehydratase",-1
"27","WP_002637061.1",36.41439403495,-0.421813882093929,0.620455512761063,-0.679845489996265,0.496602299589166,0.634424628563022,"MXAN_RS11845",41359832,"fliQ","MXAN_2448","EscS/YscS/HrcS family type III secretion system export apparatus protein",0
"28","WP_002637270.1",5165.05666480322,0.297690428676813,0.291663559324788,1.02066377221062,0.307413764112913,0.454492222377619,"MXAN_RS09340",41359340,"MXAN_RS09340","MXAN_1926","dynein regulation protein LC7",0
"29","WP_002637381.1",16330.728324865,0.739662923251673,0.367061740591407,2.01509130878073,0.0438950827312592,0.109953113450057,"MXAN_RS15970",41360648,"MXAN_RS15970","MXAN_3295","30S ribosomal protein S12",0
"30","WP_002637840.1",2326.41723005771,0.414329417494513,0.328084725961342,1.26287322971363,0.206634742028077,0.340650719453464,"MXAN_RS36250",41364645,"MXAN_RS36250","MXAN_7512","50S ribosomal protein L34",0
"31","WP_002638649.1",3252.96713816625,-1.16552622409293,0.216859283604199,-5.37457380067803,7.67640376659759e-08,1.37397658066556e-06,"MXAN_RS21170",41361673,"MXAN_RS21170","No old locus tag","TIGR04563 family protein",-1
"32","WP_002639025.1",1624.18292848218,-0.667810549834629,0.275044582274085,-2.42800837708975,0.0151819925993669,0.0488417885164508,"MXAN_RS12210",41359905,"MXAN_RS12210","MXAN_2528","TIGR02266 family protein",0
"33","WP_002639318.1",165.873647046497,-0.596881027970769,0.392234026905602,-1.52174718924735,0.128072438631971,0.241199009186366,"MXAN_RS07885",41359066,"MXAN_RS07885","No old locus tag","hypothetical protein",0
"34","WP_002639616.1",83616.4772162817,0.886595541115995,0.355954963081735,2.49075201379455,0.012747305743042,0.0426806962241397,"MXAN_RS18405",41361125,"MXAN_RS18405","MXAN_3793","30S ribosomal protein S1",0
"35","WP_002639669.1",13215.1008833086,-0.829879816723614,0.263184060954797,-3.15322977277925,0.0016147465232517,0.0080573629918374,"MXAN_RS17445",41360942,"MXAN_RS17445","MXAN_3596","integration host factor subunit alpha",0
"36","WP_002639727.1",2563.32964370979,-0.0668306660436053,0.271322348824049,-0.246314637674557,0.805438679723276,0.872751021019756,"MXAN_RS14425",41360341,"MXAN_RS14425","MXAN_2978","5-formyltetrahydrofolate cyclo-ligase",0
"37","WP_002640434.1",2449.36877974625,0.461038779136021,0.330908894517145,1.3932498847115,0.163544239542597,0.287117663163989,"MXAN_RS23760",41362184,"MXAN_RS23760","MXAN_4894","molecular chaperone GroES",0
"38","WP_002640507.1",777.525877772937,0.886688451588344,0.364338426260413,2.43369457536872,0.014945600237667,0.0483294843912543,"MXAN_RS15285",41360513,"MXAN_RS15285","MXAN_3154","1%2C4-dihydroxy-2-naphthoyl-CoA synthase",0
"39","WP_002640579.1",524.681869193413,-2.04891616205122,0.340043741128742,-6.0254488297595,1.68640967993007e-09,3.99348766474163e-08,"MXAN_RS16985",41360850,"MXAN_RS16985","No old locus tag","ribbon-helix-helix domain-containing protein",-1
"40","WP_002640911.1",81.0610287291241,-0.986690940223517,0.455717040273691,-2.16513944624703,0.0303770079249977,0.0829021630143206,"MXAN_RS35515",41364500,"MXAN_RS35515","MXAN_7339","hypothetical protein",-1
"41","WP_002640925.1",845.509894849773,-0.487672745639934,0.301173138142342,-1.61924382980479,0.105394810970029,0.209663869051521,"MXAN_RS11885",41359840,"MXAN_RS11885","MXAN_2457","hypothetical protein",0
"42","WP_011550153.1",1706.66204284107,0.414907322726919,0.301756941806011,1.37497192357433,0.169140149251386,0.293958327488349,"MXAN_RS00015",41357509,"MXAN_RS00015","MXAN_0001","chromosomal replication initiator protein DnaA",0
"43","WP_011550154.1",200.434030901055,1.28231495414239,0.547858326968616,2.34059590047236,0.0192529931152435,0.0581131737000187,"MXAN_RS00020",41357510,"MXAN_RS00020","MXAN_0002","hypothetical protein",1
"44","WP_011550155.1",226.619610186745,0.442997280213617,0.328288426019035,1.34941485932231,0.177203750634655,0.304627704706141,"MXAN_RS00025",41357511,"MXAN_RS00025","MXAN_0003","CBS domain-containing protein",0
"45","WP_011550156.1",70.4572164665789,0.0314204568644246,0.441495280926593,0.0711682734150195,0.943263831516238,0.964825747807391,"MXAN_RS00030",41357512,"MXAN_RS00030","MXAN_0004","DUF2267 domain-containing protein",0
"46","WP_011550157.1",152.766440616748,-0.726853875989373,0.397098289368694,-1.83041301221651,0.0671882034146434,0.150322697964386,"MXAN_RS00035",41357513,"MXAN_RS00035","MXAN_0005","hypothetical protein",0
"47","WP_011550158.1",17.3971776052145,1.26750885157342,1.01860087639661,1.24436261635406,0.21336613513184,0.348827055087429,"MXAN_RS00050",41357516,"MXAN_RS00050","MXAN_0008","hypothetical protein",1
"48","WP_011550159.1",108.251208028241,0.708294785175443,0.60513693735397,1.17047025467086,0.241811777683457,0.38157200824747,"MXAN_RS00055",41357517,"MXAN_RS00055","MXAN_0009","MFS transporter",0
"49","WP_011550160.1",676.425278354305,-1.09486127178674,0.306036592038924,-3.57755020238721,0.00034682962079821,0.00224202900273965,"MXAN_RS00060",41357518,"MXAN_RS00060","MXAN_0010","capsular polysaccharide biosynthesis protein CapA",-1
"50","WP_011550161.1",24.535311225834,1.29465379111296,1.03731182031339,1.24808545102843,0.211999765685626,0.347169768379193,"MXAN_RS00065",41357519,"MXAN_RS00065","MXAN_0012","DoxX family protein",1
"51","WP_011550162.1",250.238997818453,0.16154776720496,0.294938992278635,0.547732824191461,0.58387537018849,0.708734397739808,"MXAN_RS00070",41357520,"MXAN_RS00070","MXAN_0013","hypothetical protein",0
"52","WP_011550163.1",54.3307249347561,0.496216865289326,0.664620613845938,0.746616723814635,0.455294950492719,0.597493335335237,"MXAN_RS00075",41357521,"MXAN_RS00075","MXAN_0014","SAM-dependent methyltransferase",0
"53","WP_011550164.1",108.081767285958,0.802087851289369,0.485682479113702,1.65146548574916,0.0986435626913307,0.200576214371779,"MXAN_RS00080",41357522,"MXAN_RS00080","MXAN_0015","type II toxin-antitoxin system HipA family toxin",0
"54","WP_011550165.1",383.939337712269,0.0615474086238195,0.277408251763467,0.221865817734571,0.824418340864157,0.886419013431286,"MXAN_RS00085",41357523,"MXAN_RS00085","MXAN_0016","esterase",0
