,ids,growth,status
127,{'OF_BIOMASS'},0.0,optimal
138,{'rxn03130_c'},0.0,optimal
182,{'rxn02322_c'},0.0,optimal
271,{'rxn05114_c'},0.0,optimal
423,{'rxn14333_c'},0.0,optimal
507,{'rxn01972_c'},0.0,optimal
508,{'rxn09113_c'},0.0,optimal
544,{'rxn01117_c'},0.0,optimal
658,{'rxn01434_c'},0.0,optimal
695,{'rxn12225_c'},0.0,optimal
716,{'rxn01607_c'},0.0,optimal
781,{'EX_pydx_e'},0.0,optimal
782,{'rxn03159_c'},0.0,optimal
899,{'rxn14061_c'},0.0,optimal
905,{'rxn01256_c'},0.0,optimal
1047,{'rxn09202_c'},0.0,optimal
1098,{'rxn05040_c'},0.0,optimal
1099,{'rxn02990_c'},0.0,optimal
1100,{'rxn00912_c'},0.0,optimal
1170,{'rxn09210_c'},0.0,optimal
1239,{'rxn02405_c'},0.0,optimal
1294,{'rxn00555_c'},0.0,optimal
1295,{'OF_DNA'},0.0,optimal
