HEX1	Hk1	Hk2	Hk3	Gck	HK1	HK2	HK3	GCK
G6PPer	G6pc	G6PC
PGI	Gpi1	GPI
PFK	Pfkm	PFKM
FBP	Fbp1	Fbp2	FBP1	FBP2
FBA	Aldoa	Aldoc	ALDOA	ALDOC
TPI	Tpi1	TPI1
GAPD	Gapdh	GAPDH
PGK	Pgk1	PGK1
PGM	Pgam1	Pgam2	PGAM1	PGAM2
ENO	Eno1	Eno2	Eno3	ENO1	ENO2	ENO3
PYK	Pkm	PKM
r0122	Pkm	PKM
PEPCK	Pck1	PCK1
LDH_L	Ldhb	LDHB
G6PDH2r	G6pd2	G6PD
PGL	Pgls	PGLS
GND	Pgd	PGD
RPI	Rpia	RPIA
RPE	Rpe	RPEL1
TKT1	Tkt	TKT
TALA	Taldo1	TALDO1
TKT2	Tkt	TKT
PDHm	Pdha1	Pdhb	Dlat	Dld	PDHA1	PDHB	DLAT	DLD
CSm	Cs	CS
ACONTm	Aco2	ACO2
ICDHxm	Idh3a	Idh3v	Idh3g	IDH3A	IDH3B	IDH3G
ICDHyrm	Idh2	IDH2
AKGDm	Ogdh	Dlst	Dld	OGDH	DLST	DLD
SUCOAS1m	Suclg1	Suclg2	SUCLG1	SUCLG2
SUCOASm	Sucla2	SUCLA2
FUMm	Fh1	FH
MDHm	Mdh2	MDH2
CI_mitoMap	Ndufs7	Ndufs8	Ndufv2	Ndufs3	Ndufs2	Ndufv1	Ndufs1	mt-Nd1	mt-Nd2	mt-Nd3	mt-Nd4	mt-Nd4l	mt-Nd5	mt-Nd6	Ndufs6	Ndufa12	Ndufs4	Ndufa9	Ndufab1	Ndufa2	Ndufb3	Ndufa5	Ndufa6	Ndufa11	Ndufb11	NDUFB11b	Ndufs5	Ndufb4	Ndufa13	Ndufb7	Ndufa8	Ndufb9	Ndufb10	Ndufb8	Ndufc2	Ndufb2	Ndufa7	Ndufa3	Ndufb5	Ndufb1	Ndufc1	Ndufa10	Ndufa4	Ndufa4l2	Ndufv3	Ndufb6	NDUFS7	NDUFS8	NDUFV2	NDUFS3	NDUFS2	NDUFV1	NDUFS1	MT-ND1	MT-ND2	MT-ND3	MT-ND4	MT-ND4L	MT-ND5and MT-ND6	NDUFS6	NDUFA12	NDUFS4	NDUFA9	NDUFAB1	NDUFA2	NDUFB3	NDUFA5	NDUFA6	NDUFA11	NDUFB11	NDUFS5	NDUFB4	NDUFA13	NDUFB7	NDUFA8	NDUFB9	NDUFB10	NDUFB8	NDUFC2	NDUFB2	NDUFA7	NDUFA3	NDUFB5	NDUFB1	NDUFC1	NDUFA10	NDUFA4	NDUFA4L2	NDUFV3	NDUFB6
CII_mitoMap	Sdha	Sdhb	Sdhc	SDHA	SDHB	SDHC
CIII_mitoMap	mt-Cytb	Cyc1	Cycs	Uqcrfs1	Uqcrb	Uqcrh	Uqcrc2	Uqcrc1	Uqcr11	Uqcr10	Ttc19
CIV_mitoMap	mt-Co1	mt-Co2	mt-Co3	Cox4i1	Cox4i2	Cox5a	Cox5b	Cox6a1	Cox6a2	Cox6b1	Cox6b2	Cox6c	Cox7a1	Cox7a2	Cox7a2l	Cox7b	Cox7c	Cox8a	Cox8c	MT-CO1	MT-CO2	MT-CO3	COX4I1	COX4I2	COX5A	COX5B	COX6A1	COX6A2	COX6B1	COX6B2	COX6C	COX7A1	COX7A2	COX7A2L	COX7B	COX7C	COX8A	COX8C
CV_mitoMap	Atp5a1	Atp5b	Atp5c1	Atp5d	Atp5e	Atp5pb	Atp5h	Atp5k	Atp5j	Atp5j2	Atp5l	Atp5o	mt-Atp6	mt-Atp8	Atp5g1	Atp5g2	Atp5g3	ATP5A1	ATP5B	ATP5C1	ATP5D	ATP5E	ATP5F1	ATP5H	ATP5I	ATP5J	ATP5J2	ATP5L	ATP5L2	ATP5O	MT-ATP6	MT-ATP8	ATP5G1	ATP5G2	ATP5G3
PEPCKm	Pck2	PCK2
PCm	Pcx	PC
ME2m	Me3	ME3
ME1m	Me2	ME2
r0081	Gpt2	GPT2
ACITLm_mitoMap	Acly	ACLY
NDPK1m	Nme4	NME4
NNT_mitoMap	Nnt	NNT
ADK1m	Ak2	Ak3	AK2	AK3
ME2	Me1	ME1
ALATA_L	Gpt	GPT
NDPK1	Gm20390	Nme3	Nme6	Nme7	Cmpk1	Ak1	Ak4	Ak5	Ak7	Ak8	Ak9	NME2	NME3	NME6	NME7	CMPK1	AK1	AK4	AK5	AK7	AK8	AK9
FUM	Fh1	FH
ADK1	Ak1	AK1
ICDHy	Idh1	IDH1
ACONT	Aco1	ACO1
ACITL	Acly	ACLY
ASPTA	Got1	GOT1
MDH	Mdh1	MDH1
AKGMALtm	Slc25a11	SLC25A11
ASPGLUmB_mitoMap	Slc25a12	Slc25a13	SLC25A12	SLC25A13
ASPTAm	Got2	GOT2
G3PD1	Gpd1	Gpd1l	GPD1	GPD1L
r0205	Gpd2	GPD2
FACOAL160i	Acsl1	Acsl3	Acsl4	Acsbg1	Acsl6	Acsl5	Acsbg2	ACSL1	ACSL3	ACSL4	ACSBG1	ACSL6	ACSL5	ACSBG2
C160CPT1	Cpt1b	CPT1B
PPA	Ppa1	PPA1
r2435	Slc25a20	SLC25A20
C160CPT2	Cpt2	CPT2
PPAm	Ppa2	PPA2
ACOT2_mitoMap	Acot2	ACOT2
ACADLC16_mitoMap	Acadl	Etfdh	ACADL	ETFDH
MECR16C_mitoMap	Mecr	MECR
MTPC16_mitoMap	Hadha	Hadhb	HADHA	HADHB
ACADLC14_mitoMap	Acadl	Etfdh	ACADL	ETFDH
MECR14C_mitoMap	Mecr	MECR
MTPC14_mitoMap	Hadha	Hadhb	HADHA	HADHB
r1447_mitoMap	Acadm	Etfdh	ACADM	ETFDH
r0638	Mecr	MECR
r0660	Echs1	ECHS1
r0722	Hadh	HADH
r0724	Acaa2	ACAA2
r1451	Acadm	Etfdh	ACADM	ETFDH
r0735	Mecr	MECR
r0728	Echs1	ECHS1
r0726	Hadh	HADH
r0634	Acaa2	ACAA2
r1448	Acadm	Etfdh	ACADM	ETFDH
r0633	Mecr	MECR
r0731	Echs1	ECHS1
r0730	Hadh	HADH
r0732	Acaa2	ACAA2
r1450	Acadm	Etfdh	ACADM	ETFDH
r0791	Mecr	MECR
r0734	Echs1	ECHS1
r0733	Hadh	HADH
r0287	Acaa2	ACAA2
r1446	Acads	Etfdh	ACADS	ETFDH
ECOAH1m	Echs1	ECHS1
HACD1m	Hadh	HADH
ACACT1rm	Acat1	ACAT1
ACCOAC	Acaca	Acacb	ACACA	ACACB
MCOATA	Fasn	FASN
ACOATA	Fasn	FASN
r0678	Fasn	FASN
r0691	Fasn	FASN
r0681	Fasn	FASN
r0682	Fasn	FASN
r0760	Fasn	FASN
r0761	Fasn of FASN
r0762	Fasn	FASN
r0763	Fasn	FASN
r0764	Fasn	FASN
r0694	Fasn of FASN
r0695	Fasn	FASN
r0765	Fasn of FASN
r0766	Fasn	FASN
r0692	Fasn	FASN
r0693	Fasn	FASN
r0767	Fasn	FASN
r0768	Fasn	FASN
r0769	Fasn	FASN
r0770	Fasn	FASN
r0712	Fasn	FASN
r0713	Fasn	FASN
r0701	Fasn of FASN
r0702	Fasn of FASN
r0771	Fasn	FASN
r0772	Fasn	FASN
r0696	Fasn of FASN
r0697	Fasn	FASN
r0773	Fasn	FASN
FA160ACPH	Fasn	FASN
FACOAL40im	Acsm3	ACSM3	ACSM6
BDHm	Bdh1	BDH1
OCOAT1m	Oxct1	OXCT1
HMGCOASim	Hmgcs2	HMGCS2
HMGLm	Hmgcl	HMGCL
LEUTAm	Bcat2	BCAT2
OIVD1m	Bckdha	Bckdhb	Dbt	Dld	BCKDHA	BCKDHB	DBT	DLD
r0655	Ivd	IVD
MCCCrm	Mccc1	Mccc2	MCCC1	MCCC2
MGCHrm	Auh	AUH
ILETAm	Bcat2	BCAT2
OIVD3m	Bckdha	Bckdhb	Dbt	Dld	BCKDHA	BCKDHB	DBT	DLD
r0603	Acads	ACADS
ECOAH9m	Echs1	ECHS1
HACD9m	Hadh	HADH
ACACT10m	Acaa2	ACAA2
VALTAm	Bcat2	BCAT2
OIVD2m	Bckdha	Bckdhb	Dbt	Dld	BCKDHA	BCKDHB	DBT	DLD
r0560	Acads	ACADS
ECOAH12m	Echs1	ECHS1
3HBCOAHLm	Hibch	HIBCH
HIBDm	Hibadh	Hadh	HIBADH	HADH
ACCOALm	Acss3	ACSS3
MMSAD1m	Aldh6a1	ALDH6A1
PPCOACm	Pcca	Pccb	PCCA	PCCB
MMEm	Mcee	MCEE
MMMm	Mmut	MMUT
MMCDm	Echdc1	ECHDC1
RE2649M	Acot2	ACOT2
THRD_L	Sds	Sdsl	SDS	SDSL
r1154	Bckdha	Bckdhb	Dbt	Dld	PCCA	PCCB
2HBO	Ldhb	LDHB
METAT	Mat2a	MAT2A
METAT2_mitoMap	N/A
AHC	Ahcy	Ahcyl1	Ahcyl2	AHCY	AHCYL1	AHCYL2
ADNK1	Adk	ADK
CYSTS	Cbs	CBS
CYSTGL	Cth	CTH
CYSO	Cdo1	CDO1
3SALATAi	Got1	GOT1
3SPYRSP	Non-Enzymatic
CYSTA	Got1	GOT1
CYSTAm	Got2	GOT2
MCPST	Mpst	MPST
MCPSTm_mitoMap	Mpst	MPST
r0595m_mitoMap	Mpst	MPST
r0595B_mitoMap	Mpst	MPST
MCLOR	Ldhb	LDHB
r0193	Cth	CTH
TRPO2	Tdo2	Ido1	TDO2	IDO1
FKYNH	Afmid	AFMID
KYN3OX	Kmo	KMO
HKYNH	Kynu	KYNU
3HAO	Haao	HAAO
PCLAD	Acmsd	ACMSD
2OXOADPTmB_mitoMap	Slc25a21	SLC25A21
2OXOADPTmC_mitoMap	Slc25a21	SLC25A21
2OXOADOXm	Dhtkd1	Dlst	Dld	OGDH	DLST	DLD
r0541	Gcdh	GCDH
SACCD3m	Aass	AASS
r0525	Aass	AASS
AASAD3m	Aldh7a1	ALDH7A1
R03103_mitoMap	Aldh7a1	ALDH7A1
r0450	Aadat	AADAT
PPD2CSPc_mitoMap	Non-Enzymatic
LPCOXc_mitoMap	Pipox	PIPOX
r0594	Aldh7a1	ALDH7A1
2AMADPTmB_mitoMap	Slc25a21	SLC25A21
2AMADPTmC_mitoMap	Slc25a21	SLC25A21
PROD2mB_mitoMap	Prodh	PRODH
G5SADrm	Non-Enzymatic
r0074	Aldh4a1	ALDH4A1
GLU5Km	Aldh18a1 ALDH18A1
