rank,metabolite,centrality
7,2hb_e,0.0459540459540459
29,3odcoa_m,0.0169830169830169
30,3oddcoa_m,0.0169830169830169
56,acac_e,0.0459540459540459
61,accoa_m,0.0119880119880119
68,akg_e,0.0459540459540459
88,argsuc_e,0.0459540459540459
99,bhb_e,0.0459540459540459
101,bilirub_c,0.0489510489510489
102,bilirub_e,0.0459540459540459
107,btcoa_m,0.0069930069930069
118,chol_e,0.0459540459540459
121,cit_e,0.0459540459540459
135,coa_m,0.0289710289710289
151,dcacoa_m,0.0059940059940059
160,etoh_c,0.0459540459540459
161,etoh_e,0.0459540459540459
170,for_e,0.0459540459540459
174,fum_e,0.0459540459540459
183,gln_L_e,0.0459540459540459
186,glu_L_e,0.0459540459540459
209,PMF_c,0.0459540459540459
210,PMF_m,0.0459540459540459
221,HC01406_m,0.0259740259740259
223,HC01408_m,0.0169830169830169
224,HC01409_m,0.0349650349650349
232,hdca_e,0.0469530469530469
236,his_L_e,0.0459540459540459
243,icit_e,0.0459540459540459
246,ile_L_e,0.0459540459540459
258,leu_L_e,0.0459540459540459
266,lys_L_e,0.0459540459540459
269,mal_L_e,0.0459540459540459
272,mercplac_e,0.0459540459540459
276,met_L_e,0.0459540459540459
282,mmcoa_R_m,0.0319680319680319
283,mmcoa_S_m,0.0469530469530469
288,nad_e,0.0459540459540459
291,nadh_e,0.0459540459540459
304,o2_e,0.0459540459540459
306,o2s_m,0.0459540459540459
308,oaa_e,0.0459540459540459
310,occoa_m,0.0059940059940059
315,pchol_hs_c,0.0459540459540459
316,pchol_hs_e,0.0459540459540459
319,pcreat_e,0.0419580419580419
328,phe_L_c,0.0459540459540459
329,phe_L_e,0.0459540459540459
330,phe_L_m,0.0459540459540459
340,ppa_c,0.0079920079920079
341,ppa_e,0.0459540459540459
352,ps_hs_c,0.0459540459540459
353,ps_hs_e,0.0459540459540459
357,ptrc_m,0.0389610389610389
375,succ_e,0.0459540459540459
388,thr_L_e,0.0459540459540459
390,trp_L_c,0.0459540459540459
391,trp_L_e,0.0459540459540459
392,trp_L_m,0.0459540459540459
400,urcan_c,0.0169830169830169
402,urea_e,0.0459540459540459
405,val_L_e,0.0459540459540459
409,fol_e,0.0459540459540459
