	log2FoldChange	scaled_expression	discretization
MXAN_4353	0.170455933534156	0.37099003009143633	0
MXAN_5925	-0.0212638880122191	0.34465332571960866	0
MXAN_0017	1.09381352610688	0.4978323969835215	1
MXAN_4564	-0.338628603856592	0.3010566822853222	-1
MXAN_4565	-0.574376744509884	0.2686717726994765	-1
MXAN_5070	0.278191490881362	0.3857897492926204	0
MXAN_3647	-0.362155204614534	0.29782481442712017	-1
MXAN_3261	0.247782508210524	0.38161244315708254	0
MXAN_7449	0.190564079990667	0.3737523021633538	0
MXAN_1572	3.81412494134411	0.8715237397176437	1
MXAN_1030	1.43651416286416	0.5449094560247557	1
MXAN_4037	-0.431504333385719	0.288298269450399	-1
MXAN_2970	-0.796416191090806	0.2381700373216796	-1
MXAN_3644	-1.53189456696141	0.137136787859309	-1
MXAN_6374	-1.94911130591548	0.07982339259228151	-1
MXAN_3518	-1.14559923353055	0.19020248505600834	-1
MXAN_2536	-0.771674530759058	0.24156881887994328	-1
MXAN_1573	0.0644323360932718	0.3564254841842058	0
MXAN_0225	0.342788120886708	0.3946634397339377	0
MXAN_7148	0.201820991892311	0.37529867310456394	0
MXAN_1528	0.124560481440815	0.3646853353340332	0
MXAN_0216	-1.07306381669993	0.2001667329576957	-1
MXAN_2959	-0.606608258765907	0.2642441039505157	-1
MXAN_5806	0.813408740725711	0.45931296859336246	0
MXAN_6034	-0.0798664507207269	0.33660304507029076	0
MXAN_3543	1.60973597439979	0.5687050740488567	1
MXAN_6199	1.07222468923533	0.4948667212916103	1
MXAN_2666	0.743549437148086	0.4497163404977087	0
MXAN_2667	0.53522028643588	0.4210979993679986	0
MXAN_5502	0.409607554005422	0.4038424784068639	0
MXAN_3800	0.706202338752441	0.44458593988676437	0
MXAN_2179	-1.09475684803852	0.1971867439889753	-1
MXAN_5327	1.08038309714511	0.4959874482750364	1
MXAN_5328	0.460864783095454	0.41088372473483775	0
MXAN_4610	0.261051203670408	0.3834351744057774	0
MXAN_5371	3.82462682748533	0.8729663921696282	1
MXAN_5136	3.35096266036903	0.8078987688000098	1
MXAN_6987	1.50854391988624	0.554804241036363	1
MXAN_4771	-0.961272943984561	0.21552353405643407	-1
MXAN_3678	1.22373904664107	0.5156803690766788	1
MXAN_4351	0.767626308431497	0.4530237994556567	0
MXAN_3537	0.527796148484124	0.4200781396327141	0
MXAN_2306	0.687224737820939	0.4419789717528065	0
MXAN_2698	0.0206908370598442	0.35041667967180795	0
MXAN_1437	-0.434954867761394	0.2878242667988004	-1
MXAN_2907	-0.659280466272869	0.2570084809119929	-1
