;reaction_id;flux_value;classification;y_f;y_r;c_value
0;2-amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine-diphosphate:4-aminobenzoate 2-amino-4-hydroxydihydropteridine-6-methenyltransferase [c];0.0;moderate;0.0;0.0;0.233094125260299
1;gamma-L-glutamyl-L-cysteine:glycine ligase (ADP-forming) [c];1.0;high;1.0;0.0;1.0544450472430098
2;R07600 [c];0.0;low;1.0;0.0;
3;IMP:diphosphate phospho-D-ribosyltransferase [c];-3.0;moderate;0.0;1.0;0.3898677690208935
4;2,3-dihydro-2,3-dihydroxybenzoate:NAD+ oxidoreductase [c];0.0;low;1.0;0.0;
5;acetyl-CoA:L-serine O-acetyltransferase [c];0.0;moderate;0.0;0.0;0.2623549140553988
6;palmitoyl-lipoteichoic acid synthesis (n=24), linked, glucose substituted [c];0.0;high;0.0;0.0;1.1015221062842442
7;ATP:CMP phosphotransferase [c];0.0;low;1.0;0.0;
8;Transport of dicarboxylates, extracellular [c];0.0;low;1.0;0.0;
9;UDP-N-acetyl-D-glucosamine:undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine 4-beta-N-acetylglucosaminlytransferase [c];0.0;;;;
10;Isochorismate pyruvate-hydrolase [c];0.0;low;1.0;0.0;
11;FACOAL160(ISO) [c];0.0;low;1.0;0.0;
12;L-glutamate:L-cysteine gamma-ligase (ADP-forming) [c];1.0;high;1.0;0.0;1.015925618852851
13;7-methyl-trans-oct-2-enoyl-ACP:NAD+ oxidoreductase (A-specific) [c];0.0;low;1.0;0.0;
14;ATP:dCDP phosphotransferase [c];1.0;high;1.0;0.0;1.1253177243083452
15;trans-4-Hydroxy-L-proline 2-epimerase [c];0.0;high;0.0;0.0;1.0514793715510988
16;R03270 [c];871.18182;moderate;1.0;0.0;0.7638885827863641
17;ornithine transport via ABC system [c];1.0;moderate;1.0;0.0;0.5811005947650799
18;(S)-3-Hydroxybutanoyl-CoA:NADP+ oxidoreductase [c];0.0;low;1.0;0.0;
19;GDP-mannose 4,6-hydro-lyase (GDP-4-dehydro-6-deoxy-D-mannose-forming) [c];0.0;moderate;0.0;0.0;0.6556886209597967
