reaction_id	flux_value	classification	y_f	y_r
rxn02201_c	0.0	low	1.0	0.0
rxn00351_c	1.0848498	high	1.0	0.0
rxn07431_c	1.0	high	1.0	0.0
rxn00836_c	-1.0	high	0.0	1.0
rxn01094_c	0.0	low	1.0	0.0
rxn00423_c	0.0	low	1.0	0.0
rxn10298_c	0.0	low	1.0	0.0
rxn00364_c	7.3302704	moderate		
rxn05561_c	0.0	moderate		
rxn03408_c	1.7011581			
rxn02177_c	0.0	low	1.0	0.0
rxn05250_c	0.0	low	1.0	0.0
rxn00646_c	1.0848498	high	1.0	0.0
rxn05440_c	0.0	moderate		
rxn01673_c	-1000.0	high	0.0	1.0
rxn02360_c	0.0	low	1.0	0.0
rxn02342_c	1000.0	high	1.0	0.0
rxn05156_c	11.711461	moderate		
rxn01452_c	0.0	low	1.0	0.0
rxn00642_c	0.0	moderate		
rxn02000_c	0.0	low	1.0	0.0
rxn03239_c	141.65828	high	1.0	0.0
rxn05457_c	-51.514729	high	0.0	1.0
rxn00107_c	0.0	high	0.0	0.0
rxn12008_c	0.0	high	0.0	0.0
rxn04070_c	0.0	moderate		
rxn00199_c	1.0	high	1.0	0.0
rxn01358_c	1000.0	moderate		
rxn03433_c	0.0	moderate		
rxn10231_c	0.0	moderate		
rxn12637_c	0.0	high	0.0	0.0
rxn09240_c	0.0	low	1.0	0.0
rxn00172_c	-1000.0			
rxn01219_c	0.0	moderate		
rxn02168_c	-133.15249	moderate		
rxn00800_c	8.6686191	moderate		
rxn08333_c	0.16969963	moderate		
rxn08172_c	0.0	low	1.0	0.0
rxn01705_c	-1000.0	moderate		
rxn09177_c	0.0	moderate		
rxn00211_c	0.0	high	0.0	0.0
rxn00179_c	0.0	moderate		
rxn02945_c	0.0	low	1.0	0.0
rxn01210_c	0.0	moderate		
rxn00192_c	1.0	low	0.0	0.0
rxn01218_c	0.0	low	1.0	0.0
rxn02898_c	0.16969963	moderate		
rxn05654_c	0.0	moderate		
rxn12549_c	0.0	moderate		
rxn00545_c	0.0	moderate		
rxn08807_c	0.0	high	0.0	0.0
rxn05614_c	0.0	low	1.0	0.0
rxn02316_c	0.0	moderate		
rxn00501_c	0.0	low	1.0	0.0
rxn10336_c	1.3153219			
rxn02320_c	0.0	low	1.0	0.0
rxn03384_c	0.0	moderate		
rxn02504_c	0.25454945	moderate		
rxn00262_c	294.1035	moderate		
rxn03173_c	0.0	moderate		
rxn03039_c	0.0	low	1.0	0.0
rxn10262_c	0.0	moderate		
rxn10126_c	0.0	low	1.0	0.0
rxn10209_c	0.0	moderate		
rxn08084_c	0.0	low	1.0	0.0
rxn10225_c	0.0	moderate		
rxn01486_c	0.0	low	1.0	0.0
rxn05444_c	0.0	moderate		
rxn05334_c	0.0	low	1.0	0.0
rxn10205_c	0.0	moderate		
rxn05040_c	0.33939927	moderate		
rxn01843_c	0.0	low	1.0	0.0
rxn00816_c	0.0	low	1.0	0.0
rxn02988_c	-0.16969963	high	0.0	0.0
rxn04792_c	-1000.0	high	0.0	1.0
rxn00165_c	-1000.0	moderate		
rxn10228_c	0.0	moderate		
rxn01117_c	-3.4023162	low	0.0	0.0
rxn00001_c	0.0	low	1.0	0.0
rxn08895_c	0.0	low	1.0	0.0
rxn00671_c	0.0	low	1.0	0.0
rxn11268_c	-1.0	high	0.0	1.0
rxn00710_c	9.1090658	low	0.0	0.0
rxn02305_c	0.084849817	moderate		
rxn02885_c	0.0	moderate		
rxn08817_c	0.0	high	0.0	0.0
rxn00910_c	-50.981529	high	0.0	1.0
rxn00953_c	0.0	moderate		
rxn01129_c	-0.33333333	moderate		
rxn08296_c	0.0	low	1.0	0.0
rxn00717_c	0.0	low	1.0	0.0
rxn05647_c	0.0	high	0.0	0.0
rxn01297_c	1.5090989	moderate		
rxn10254_c	0.0	low	1.0	0.0
rxn01682_c	0.0	low	1.0	0.0
rxn08796_c	43.008938	high	1.0	0.0
rxn01806_c	0.0			
rxn08941_c	1.0	high	1.0	0.0
rxn03181_c	1.7011581	low	0.0	0.0
rxn09360_c	0.0	moderate		
rxn02331_c	-3.4023162	high	0.0	1.0
rxn06493_c	5.7165844	high	1.0	0.0
rxn12846_c	0.0	high	0.0	0.0
rxn00337_c	62.558679	low	0.0	0.0
rxn08308_c	0.0	moderate		
rxn01930_c	0.0	moderate		
rxn00208_c	0.0	low	1.0	0.0
rxn08823_c	0.0	high	0.0	0.0
rxn05031_c	0.0	low	1.0	0.0
rxn05434_c	0.0	moderate		
rxn05346_c	0.0	low	1.0	0.0
rxn00867_c	0.0	moderate		
rxn03248_c	-133.15249	high	0.0	1.0
rxn08127_c	1.0	moderate		
rxn05386_c	0.0	low	1.0	0.0
rxn05516_c	0.0	low	1.0	0.0
rxn05733_c	0.0	moderate		
rxn00416_c	10.279064	low	0.0	0.0
rxn09206_c	0.0	moderate		
rxn01729_c	0.0	low	1.0	0.0
rxn01134_c	0.0	low	1.0	0.0
rxn02376_c	-276.90748	high	0.0	1.0
rxn08017_c	0.0	low	1.0	0.0
rxn09209_c	0.0	moderate		
rxn12512_c	0.16969963	moderate		
rxn08669_c	0.0	low	1.0	0.0
rxn06672_c	0.0	moderate		
rxn00649_c	0.0	moderate		
rxn01739_c	18.010302			
rxn02400_c	0.0	low	1.0	0.0
rxn01268_c	0.0	low	1.0	0.0
rxn00641_c	0.0	high	0.0	0.0
rxn00361_c	0.0	low	1.0	0.0
rxn02679_c	332.16755	high	1.0	0.0
rxn07434_c	0.0	high	0.0	0.0
rxn01974_c	1.7011581	moderate		
rxn01640_c	0.0	low	1.0	0.0
rxn00242_c	0.0	low	1.0	0.0
rxn12641_c	0.0	high	0.0	0.0
rxn08971_c	1.0	high	1.0	0.0
rxn08275_c	0.0	moderate		
rxn01635_c	0.0	low	1.0	0.0
rxn03057_c	0.0	low	1.0	0.0
rxn00060_c	0.084849817	moderate		
rxn05350_c	0.0	low	1.0	0.0
rxn09198_c	0.0	high	0.0	0.0
rxn08838_c	0.0	high	0.0	0.0
rxn00148_c	-1000.0	moderate		
rxn01102_c	0.0	moderate		
rxn05569_c	0.0	high	0.0	0.0
rxn00100_c	0.16969963	low	0.0	0.0
rxn00514_c	0.0	moderate		
rxn00789_c	0.0	low	1.0	0.0
rxn05390_c	0.0	low	1.0	0.0
rxn05560_c	1.0	high	1.0	0.0
rxn05437_c	0.0	moderate		
rxn08976_c	276.82263	high	1.0	0.0
rxn00781_c	-95.359778	high	0.0	1.0
rxn05319_c	0.0	low	1.0	0.0
rxn00881_c	0.0	low	1.0	0.0
rxn05298_c	-242.1556	moderate		
rxn06578_c	0.0	low	1.0	0.0
rxn01355_c	0.0	moderate		
rxn10337_c	0.0			
rxn00292_c	0.0	low	1.0	0.0
rxn08336_c	0.0	low	1.0	0.0
rxn05401_c	0.0	high	0.0	0.0
rxn02264_c	0.084849817	moderate		
rxn10338_c	0.0			
rxn09202_c	1.3153219	high	1.0	0.0
rxn01451_c	133.15249	high	1.0	0.0
rxn03903_c	0.0	moderate		
rxn00097_c	1000.0	high	1.0	0.0
rxn01217_c	0.0	low	1.0	0.0
rxn02212_c	18.010302	low	0.0	0.0
rxn00695_c	878.40546	moderate		
rxn00250_c	0.0	low	1.0	0.0
rxn05324_c	0.0	moderate		
rxn10481_c	0.084849817	low	0.0	0.0
rxn03535_c	0.0	moderate		
rxn00692_c	-45.434644	high	0.0	1.0
rxn01492_c	1.0	moderate		
rxn00802_c	12.626611	moderate		
rxn08440_c	-43.008938	moderate		
rxn02160_c	0.0	low	1.0	0.0
rxn08802_c	0.0	high	0.0	0.0
rxn02315_c	0.0	moderate		
rxn01825_c	1.0	moderate		
rxn10230_c	0.0	moderate		
rxn02720_c	134.15249	high	1.0	0.0
rxn00913_c	0.0	low	1.0	0.0
rxn01997_c	0.0	moderate		
rxn08809_c	0.0	high	0.0	0.0
rxn00460_c	0.0	moderate		
rxn00171_c	0.0	low	1.0	0.0
rxn05578_c	0.0	moderate		
rxn00178_c	-113.40335	high	0.0	1.0
rxn03264_c	0.0	high	0.0	0.0
rxn01362_c	-9.1090658	moderate		
rxn05329_c	0.0	low	1.0	0.0
rxn03174_c	0.0	low	1.0	0.0
rxn03918_c	0.0	low	1.0	0.0
rxn05161_c	19.213418	low	0.0	0.0
rxn00549_c	36.301518	high	1.0	0.0
rxn03951_c	0.0	low	1.0	0.0
rxn01022_c	0.0	low	1.0	0.0
rxn05418_c	0.0	high	0.0	0.0
rxn00506_c	0.0	low	1.0	0.0
rxn10060_c	-999.91515	moderate		
rxn02933_c	0.0	high	0.0	0.0
rxn00727_c	0.0	low	1.0	0.0
rxn10307_c	0.0	moderate		
rxn05617_c	0.0	high	0.0	0.0
rxn03852_c	0.0	moderate		
rxn01354_c	1000.0	moderate		
rxn02268_c	0.0	high	0.0	0.0
rxn00305_c	-1000.0	high	0.0	1.0
rxn01445_c	0.0	low	1.0	0.0
rxn05248_c	0.0	low	1.0	0.0
rxn00612_c	-1000.0	moderate		
rxn08766_c	0.0	low	1.0	0.0
rxn05539_c	0.0	moderate		
rxn08841_c	0.0	high	0.0	0.0
rxn05461_c	10.522575	high	1.0	0.0
rxn02159_c	0.0	low	1.0	0.0
rxn10222_c	0.0	moderate		
rxn00269_c	0.0	low	1.0	0.0
rxn10263_c	0.0	moderate		
rxn02791_c	0.0	moderate		
rxn05466_c	0.0	low	1.0	0.0
rxn08814_c	0.0	high	0.0	0.0
rxn00917_c	7.2923241	moderate		
rxn08845_c	0.0	high	0.0	0.0
rxn00395_c	0.0	moderate		
rxn01438_c	0.0	moderate		
rxn00300_c	0.16969963	moderate		
