reaction_id	flux_value	classification	y_f	y_r
rxn02201_c	0.0	moderate		
rxn00351_c	1.0	high	1.0	0.0
rxn07431_c	0.0	low	1.0	0.0
rxn00836_c	0.0	moderate		
rxn01094_c	0.0	low	1.0	0.0
rxn00423_c	0.0	moderate		
rxn10298_c	0.0	high	0.0	0.0
rxn00364_c	0.0	low	1.0	0.0
rxn05561_c	0.0	low	1.0	0.0
rxn03408_c	0.0			
rxn02177_c	0.0	low	1.0	0.0
rxn05250_c	0.0	low	1.0	0.0
rxn00646_c	1.0	high	1.0	0.0
rxn05440_c	0.0	low	1.0	0.0
rxn01673_c	1.0	high	1.0	0.0
rxn02360_c	0.0	high	0.0	0.0
rxn02342_c	0.0	moderate		
rxn05156_c	0.0	moderate		
rxn01452_c	0.0	low	1.0	0.0
rxn00642_c	0.0	moderate		
rxn02000_c	0.0	moderate		
rxn03239_c	0.0	high	0.0	0.0
rxn05457_c	0.0	low	1.0	0.0
rxn00107_c	0.0	high	0.0	0.0
rxn12008_c	0.0	high	0.0	0.0
rxn04070_c	0.0	high	0.0	0.0
rxn00199_c	501.14286	moderate		
rxn01358_c	0.0	moderate		
rxn03433_c	0.0	moderate		
rxn10231_c	0.0	low	1.0	0.0
rxn12637_c	0.0	moderate		
rxn09240_c	1.0	high	1.0	0.0
rxn00172_c	-1000.0			
rxn01219_c	0.0	low	1.0	0.0
rxn02168_c	1.0	low	0.0	0.0
rxn00800_c	0.0	moderate		
rxn08333_c	0.0	high	0.0	0.0
rxn08172_c	0.0	low	1.0	0.0
rxn01705_c	0.0	low	1.0	0.0
rxn09177_c	0.0	moderate		
rxn00211_c	0.0	moderate		
rxn00179_c	0.0	low	1.0	0.0
rxn02945_c	0.0	moderate		
rxn01210_c	0.0	low	1.0	0.0
rxn00192_c	1.0	low	0.0	0.0
rxn01218_c	0.0	low	1.0	0.0
rxn02898_c	0.0	high	0.0	0.0
rxn05654_c	0.0	low	1.0	0.0
rxn12549_c	0.0	low	1.0	0.0
rxn00545_c	0.0	low	1.0	0.0
rxn08807_c	0.0	low	1.0	0.0
rxn05614_c	0.0	high	0.0	0.0
rxn02316_c	0.0	low	1.0	0.0
