reaction_id	flux_value	classification	y_f	y_r	c_value
rxn02201_c	0.0	moderate	0.0	0.0	0.23309412526029905
rxn00351_c	1.0	high	1.0	0.0	1.0544450472430098
rxn07431_c	0.0	low	1.0	0.0	
rxn00836_c	-3.0	moderate	0.0	1.0	0.3898677690208935
rxn01094_c	0.0	low	1.0	0.0	
rxn00423_c	0.0	moderate	0.0	0.0	0.26235491405539885
rxn10298_c	0.0	high	0.0	0.0	1.1015221062842442
rxn00364_c	0.0	low	1.0	0.0	
rxn05561_c	0.0	low	1.0	0.0	
rxn03408_c	0.0				
rxn02177_c	0.0	low	1.0	0.0	
rxn05250_c	0.0	low	1.0	0.0	
rxn00646_c	1.0	high	1.0	0.0	1.015925618852851
rxn05440_c	0.0	low	1.0	0.0	
rxn01673_c	1.0	high	1.0	0.0	1.1253177243083452
rxn02360_c	0.0	high	0.0	0.0	1.0514793715510988
rxn02342_c	871.18182	moderate	1.0	0.0	0.7638885827863641
rxn05156_c	1.0	moderate	1.0	0.0	0.5811005947650799
rxn01452_c	0.0	low	1.0	0.0	
rxn00642_c	0.0	moderate	0.0	0.0	0.6556886209597967
rxn02000_c	0.0	moderate	0.0	0.0	0.36492572251990096
rxn03239_c	0.0	high	0.0	0.0	1.3645114190594982
rxn05457_c	0.0	low	1.0	0.0	
rxn00107_c	0.0	high	0.0	0.0	1.1253177243083452
rxn12008_c	0.0	high	0.0	0.0	1.0722930193361673
rxn04070_c	0.0	high	0.0	0.0	1.009636449715145
rxn00199_c	1.0	moderate	1.0	0.0	0.7530851935698668
rxn01358_c	1.0	moderate	1.0	0.0	0.9850810312058436
rxn03433_c	0.0	moderate	0.0	0.0	0.015160320854695895
rxn10231_c	0.0	low	1.0	0.0	
rxn12637_c	0.0	moderate	0.0	0.0	0.40293791449304434
rxn09240_c	1.0	high	1.0	0.0	1.0724717614510946
rxn00172_c	0.0				
rxn01219_c	0.0	low	1.0	0.0	
rxn02168_c	1.0	low	0.0	0.0	
rxn00800_c	3.0	moderate	1.0	0.0	0.10599455833099188
rxn08333_c	0.0	high	0.0	0.0	1.1176166899414048
rxn08172_c	0.0	low	1.0	0.0	
rxn01705_c	1.0	low	0.0	0.0	
rxn09177_c	0.0	moderate	0.0	0.0	0.5354313608234286
rxn00211_c	0.0	moderate	0.0	0.0	0.474703750837916
rxn00179_c	0.0	low	1.0	0.0	
rxn02945_c	0.0	moderate	0.0	0.0	0.07520486913872058
rxn01210_c	0.0	low	1.0	0.0	
rxn00192_c	35.636364	low	0.0	0.0	
rxn01218_c	0.0	low	1.0	0.0	
rxn02898_c	0.0	high	0.0	0.0	1.0259921110176964
rxn05654_c	0.0	low	1.0	0.0	
rxn12549_c	0.0	low	1.0	0.0	
rxn00545_c	0.0	low	1.0	0.0	
rxn08807_c	0.0	low	1.0	0.0	
rxn05614_c	0.0	high	0.0	0.0	1.1559856432123539
rxn02316_c	0.0	low	1.0	0.0	
rxn00501_c	0.0	low	1.0	0.0	
rxn10344_c	0.0	low	1.0	0.0	
rxn10336_c	0.0				
rxn02320_c	0.0	low	1.0	0.0	
rxn03384_c	0.0	high	0.0	0.0	1.117201245006666
rxn02504_c	0.0	high	0.0	0.0	1.0489439961927671
rxn00262_c	1.0	moderate	1.0	0.0	0.8457270081610712
rxn03173_c	0.0	moderate	0.0	0.0	0.4045280154962657
rxn03039_c	0.0	low	1.0	0.0	
rxn10262_c	0.0	low	1.0	0.0	
rxn10126_c	1.0	high	1.0	0.0	1.0026091584958114
rxn10209_c	0.0	low	1.0	0.0	
rxn08084_c	0.0	low	1.0	0.0	
rxn10225_c	0.0	low	1.0	0.0	
rxn01486_c	0.0	low	1.0	0.0	
rxn05444_c	0.0	low	1.0	0.0	
rxn05334_c	0.0	moderate	0.0	0.0	0.11723386591098567
rxn10205_c	0.0	low	1.0	0.0	
rxn05040_c	0.0	low	1.0	0.0	
rxn02090_c	0.0	high	0.0	0.0	1.0069602280805614
rxn01843_c	0.0	low	1.0	0.0	
rxn00816_c	-1.0	moderate	0.0	1.0	0.4945861772423126
rxn02988_c	0.0	high	0.0	0.0	1.0360315276409984
rxn04792_c	-1000.0	high	0.0	1.0	1.1135530084403107
rxn00165_c	117.81818	moderate	1.0	0.0	0.6261118320733925
rxn10228_c	0.0	low	1.0	0.0	
rxn01117_c	0.0	low	1.0	0.0	
rxn00001_c	0.0	low	1.0	0.0	
rxn08895_c	0.0	low	1.0	0.0	
rxn00671_c	0.0	low	1.0	0.0	
rxn11268_c	-22.0	high	0.0	1.0	1.1356342739874374
rxn00710_c	0.0	low	1.0	0.0	
rxn02305_c	0.0	high	0.0	0.0	1.037978490786371
rxn02885_c	0.0	moderate	0.0	0.0	0.6624121773192764
rxn08817_c	0.0	low	1.0	0.0	
rxn00910_c	1.0	moderate	1.0	0.0	0.3566681491297549
rxn00953_c	0.0	moderate	0.0	0.0	0.791274106781563
rxn01129_c	0.0	low	1.0	0.0	
rxn08296_c	0.0	moderate	0.0	0.0	0.1463420475613635
rxn00717_c	2.0	high	1.0	0.0	1.0069602280805614
rxn05647_c	0.0	moderate	0.0	0.0	0.0772462869039078
rxn01297_c	-1.0	low	0.0	0.0	
rxn01962_c	0.0	moderate	0.0	0.0	0.4673437517167507
rxn10254_c	0.0	moderate	0.0	0.0	0.1463420475613635
rxn01682_c	0.0	low	1.0	0.0	
rxn08796_c	0.0	low	1.0	0.0	
rxn01806_c	0.0				
rxn08941_c	0.0	low	1.0	0.0	
rxn03181_c	0.0	low	1.0	0.0	
rxn09360_c	0.0	moderate	0.0	0.0	0.18990841389279378
rxn02331_c	0.0	moderate	0.0	0.0	0.8592900826977188
rxn06493_c	116.81818	high	1.0	0.0	1.0653648559494668
rxn12846_c	0.0	moderate	0.0	0.0	0.40293791449304434
rxn00337_c	1.0	low	0.0	0.0	
rxn08308_c	0.0	low	1.0	0.0	
rxn01930_c	0.0	moderate	0.0	0.0	0.026747308925888554
rxn00208_c	0.0	low	1.0	0.0	
rxn08823_c	0.0	low	1.0	0.0	
rxn05031_c	0.0	moderate	0.0	0.0	0.07520486913872058
rxn05434_c	0.0	low	1.0	0.0	
rxn05346_c	0.0	moderate	0.0	0.0	0.6920181288816155
rxn00867_c	0.0	low	1.0	0.0	
